notebook,status,seconds,stderr_tail
17-conformal-prediction.ipynb,PASS,12.1,read for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12283 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\17-conformal-prediction.ipynb 
18-full-uncertainty.ipynb,PASS,11.7,r thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12275 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\18-full-uncertainty.ipynb 
19-complete-scientific-workflow.ipynb,PASS,11.5, add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12299 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\19-complete-scientific-workflow.ipynb 
20-tracking-persistence-and-scalable-inference.ipynb,PASS,11.5,port via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12329 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\20-tracking-persistence-and-scalable-inference.ipynb 
21-agronomy-soil-workflow.ipynb,PASS,11.3,ad for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12287 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\21-agronomy-soil-workflow.ipynb 
22-spectroscopy-phenotyping-workflow.ipynb,PASS,11.2,reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12309 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\22-spectroscopy-phenotyping-workflow.ipynb 
23-spatial-environmental-workflow.ipynb,PASS,11.8,dd_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12303 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\23-spatial-environmental-workflow.ipynb 
24-protected-external-validation.ipynb,PASS,11.8,add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12301 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\24-protected-external-validation.ipynb 
25-api-catalog.ipynb,PASS,11.2,lector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12265 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\25-api-catalog.ipynb 
26-migration-and-deprecation.ipynb,PASS,11.2,for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12293 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\26-migration-and-deprecation.ipynb 
27-validation-and-reproducibility.ipynb,PASS,11.2,dd_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12303 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\27-validation-and-reproducibility.ipynb 
