obs_id,x,treatment,true_mean,true_sigma,yield
DY0101,0.457674592109,0,57.7460475527,1.34920951053,56.8264596615
DY0102,0.358921093222,1,61.1535265593,1.73070531187,59.7088659122
DY0103,-0.901350530171,1,53.591896819,2.38162063621,58.617719513
DY0104,0.009522727945,1,59.0571363677,1.31142727353,60.4326397948
DY0105,-1.22717443923,0,47.6369533646,2.27260932707,44.5192047279
DY0106,-0.528984326805,1,55.8260940392,1.93478119217,55.7211519506
DY0107,0.719517708495,0,59.317106251,1.66342125019,58.4880694707
DY0108,-1.30669882956,0,47.1598070226,2.36803859548,46.813675313
DY0109,-0.303649751012,1,57.1781014939,1.66437970121,55.730521225
DY0110,0.429483310985,1,61.5768998659,1.81537997318,59.3266199006
DY0111,1.09533656573,0,61.5720193944,2.11440387888,60.4336388921
DY0112,-0.592628107944,1,55.4442313523,2.01115372953,56.0528869403
DY0113,-1.96672436319,1,47.1996538209,3.66006923582,44.3615845958
DY0114,-1.8771054138,0,43.7373675172,3.05252649656,39.1152186499
DY0115,0.0868098773326,0,55.520859264,0.904171852799,54.788617251
DY0116,-1.18411394017,0,47.895316359,2.2209367282,42.4756570563
DY0117,-1.001470382,1,52.991177708,2.50176445841,51.7205397136
DY0118,1.45214800513,0,63.7128880308,2.54257760616,65.3697984016
DY0119,-0.373194754768,0,52.7608314714,1.24783370572,52.2775896131
DY0120,-1.46976924086,1,50.1813845549,3.06372308903,49.7922969315
DY0121,0.762659807127,1,63.5759588428,2.21519176855,64.308474391
DY0122,-1.76059032836,1,48.4364580298,3.41270839404,47.2472073971
DY0123,-0.95751719575,0,49.2548968255,1.9490206349,50.1839119794
DY0124,0.905713722754,1,64.4342823365,2.3868564673,60.5887122433
DY0125,-0.26864505128,1,57.3881296923,1.62237406154,58.4270278765
DY0126,1.53596567493,0,64.2157940496,2.64315880991,64.3837708961
DY0127,-0.770382416704,0,50.3777054998,1.72445890005,53.6093696239
DY0128,1.58241725657,1,68.4945035394,3.19890070789,69.5430465252
DY0129,-1.71167615512,0,44.7299430693,2.85401138614,46.1233111402
DY0130,0.690696929368,1,63.1441815762,2.12883631524,63.5298249298
DY0131,0.979725237814,0,60.8783514269,1.97567028538,59.3092920189
DY0132,-0.465745491128,1,56.2055270532,1.85889458935,58.6482754319
DY0133,1.37225069715,0,63.2335041829,2.44670083659,65.5982972546
DY0134,1.89250652985,1,70.3550391791,3.57100783581,72.5950310421
DY0135,-1.14674295776,0,48.1195422534,2.17609154931,47.6129904842
DY0136,0.911687063198,0,60.4701223792,1.89402447584,63.2462707117
DY0137,0.604535787569,1,62.6272147254,2.02544294508,63.6226914242
DY0138,-1.26729489588,1,51.3962306247,2.82075387506,50.2543560164
DY0139,0.53980091734,0,58.238805504,1.44776110081,58.5877729539
DY0140,-0.278129420693,1,57.3312234758,1.63375530483,57.911591188
DY0141,1.61409582004,1,68.6845749202,3.23691498404,69.3404575336
DY0142,0.645833555068,1,62.8750013304,2.07500026608,60.7714920529
DY0143,-0.109330019016,0,54.3440198859,0.931196022819,54.3550305484
DY0144,-1.31423824825,0,47.1145705105,2.3770858979,48.3383280447
DY0145,0.593460297829,1,62.560761787,2.0121523574,63.1936061733
DY0146,-1.88521904672,0,43.6886857197,3.06226285606,45.0947235053
DY0147,-0.480027540045,1,56.1198347597,1.87603304805,59.1663652979
DY0148,1.63692732418,1,68.8215639451,3.26431278902,66.7582179743
DY0149,1.89705470949,1,70.3823282569,3.57646565139,71.0382962017
DY0150,0.534382771414,1,62.2062966285,1.9412593257,67.2140033204
DY0151,1.13318322986,0,61.7990993792,2.15981987583,66.6333447475
DY0152,-0.490009234945,0,52.0599445903,1.38801108193,51.4361617937
DY0153,0.59659514,0,58.57957084,1.515914168,58.5746603794
DY0154,0.896169075576,1,64.3770144535,2.37540289069,61.3782907689
DY0155,0.00960928983494,1,59.057655739,1.3115311478,57.3648453871
DY0156,-0.699037344693,0,50.8057759318,1.63884481363,49.0670587018
DY0157,-1.74168111677,1,48.5499132994,3.39001734012,45.9369354461
DY0158,0.36986744883,1,61.219204693,1.7438409386,62.1558182857
DY0159,1.8964676428,1,70.3788058568,3.57576117136,67.8689867828
DY0160,-1.06202951893,1,52.6278228864,2.57443542272,54.6857754498
DY0161,-1.79365544581,1,48.2380673252,3.45238653497,47.1552658138
DY0162,0.967121416347,1,64.8027284981,2.46054569962,63.1073829932
DY0163,-1.09244503391,0,48.4453297965,2.1109340407,50.6722409594
DY0164,-1.04460038338,1,52.7323976997,2.55352046005,53.3172467747
DY0165,0.663139848029,0,58.9788390882,1.59576781763,57.4395118378
DY0166,1.74653376272,0,65.4792025763,2.89584051526,61.8729815166
DY0167,-1.85224467642,1,47.8865319415,3.52269361171,50.3893573545
DY0168,-1.31461387571,0,47.1123167458,2.37753665085,47.8350734806
DY0169,0.518840390914,1,62.1130423455,1.9226084691,60.2248185725
DY0170,1.2082416573,0,62.2494499438,2.24988998876,62.2458911801
DY0171,1.65515862865,0,64.9309517719,2.78619035438,66.0577586538
DY0172,-0.533880750718,1,55.7967154957,1.94065690086,54.9326096373
DY0173,1.02193129602,0,61.1315877761,2.02631755523,60.3684474571
DY0174,1.22500837227,1,66.3500502336,2.77001004673,70.7089373903
DY0175,-0.539129960344,1,55.7652202379,1.94695595241,53.179982093
DY0176,0.599465068882,0,58.5967904133,1.51935808266,57.5317998112
DY0177,0.188221010847,0,56.1293260651,1.02586521302,57.1685263934
DY0178,1.49268272106,1,67.9560963264,3.09121926528,68.9976839817
DY0179,-0.91102798816,0,49.533832071,1.89323358579,47.3668884938
DY0180,-1.34705028021,0,46.9176983187,2.41646033625,47.6177966456
DY0181,0.536752761174,1,62.220516567,1.94410331341,61.6784464573
DY0182,-1.54280200273,0,45.7431879836,2.65136240328,46.9355558327
DY0183,-1.03815656702,1,52.7710605979,2.54578788042,53.6985557756
DY0184,1.50274180482,0,64.0164508289,2.60329016579,62.9212794161
DY0185,-0.285952000833,1,57.284287995,1.643142401,58.4032022448
DY0186,0.0815440469171,1,59.4892642815,1.3978528563,58.50290526
DY0187,-0.419163764891,1,56.4850174107,1.80299651787,59.8647171775
DY0188,1.84626670801,0,66.077600248,3.01552004961,69.8532271532
DY0189,1.29117118658,1,66.7470271195,2.8494054239,69.5878689522
DY0190,1.99275466818,0,66.9565280091,3.19130560181,67.8822800563
DY0191,-0.389899775369,0,52.6606013478,1.26787973044,52.5753950265
DY0192,-0.367374907733,1,56.7957505536,1.74084988928,60.0614938713
DY0193,-0.349509795295,0,52.9029412282,1.21941175435,51.7801354347
DY0194,-1.47393619414,0,46.1563828352,2.56872343296,42.4255232083
DY0195,-1.71328270606,1,48.7203037637,3.35593924727,54.2916188284
DY0196,-0.752783044446,0,50.4833017333,1.70333965333,52.0969040877
DY0197,-0.288119554864,1,57.2712826708,1.64574346584,57.537459911
DY0198,0.313914866935,1,60.8834892016,1.67669784032,58.8992059024
DY0199,0.131639304456,1,59.7898358267,1.45796716535,58.3570137315
DY0200,0.391472384154,0,57.3488343049,1.26976686098,56.0572985769
DY0201,-0.475138005969,0,52.1491719642,1.37016560716,52.5514390245
DY0202,-1.68388094103,0,44.8967143538,2.82065712924,46.9042522416
DY0203,-1.70673763282,0,44.7595742031,2.84808515939,47.6764030456
DY0204,1.71463044108,0,65.2877826465,2.8575565293,63.5072703762
DY0205,0.976593299617,0,60.8595597977,1.97191195954,59.9344784733
DY0206,-0.975597475416,1,53.1464151475,2.4707169705,48.2477677874
DY0207,-1.69738892322,1,48.8156664607,3.33686670787,50.3916587289
DY0208,-0.624583819239,0,51.2524970846,1.54950058309,49.6640886369
DY0209,-0.925916252973,1,53.4445024822,2.41109950357,52.4075445469
DY0210,-0.682811370207,0,50.9031317788,1.61937364425,49.0377885453
DY0211,1.55182178271,0,64.3109306963,2.66218613926,63.0165373412
DY0212,-0.608277230216,0,51.3503366187,1.52993267626,52.4884988491
DY0213,0.316472377139,1,60.8988342628,1.67976685257,60.892912037
DY0214,1.30731848964,1,66.8439109379,2.86878218757,71.101707275
DY0215,1.92664571817,0,66.559874309,3.1119748618,67.7151424194
DY0216,0.786425164262,1,63.7185509856,2.24371019711,64.0605358235
DY0217,-1.81146260068,0,44.1312243959,2.97375512081,43.2056928017
DY0218,0.639180161613,0,58.8350809697,1.56701619394,61.2411948811
DY0219,1.44980636879,1,67.6988382127,3.03976764254,70.228801091
DY0220,-1.88687676941,0,43.6787393835,3.0642521233,40.6719048808
DY0221,1.29600974095,0,62.7760584457,2.35521168914,67.4015362239
DY0222,1.67472540938,1,69.0483524563,3.30967049125,62.7979154499
DY0223,-0.837624858222,1,53.9742508507,2.30514982987,59.7866496464
DY0224,0.476566123976,1,61.8593967439,1.87187934877,65.5272635927
DY0225,1.71444035593,1,69.2866421356,3.35732842711,68.5901973501
DY0226,0.629907194469,1,62.7794431668,2.05588863336,63.9386640567
DY0227,0.430722925075,1,61.5843375505,1.81686751009,62.6549721684
DY0228,-0.887417876764,0,49.6754927394,1.86490145212,48.8071664356
DY0229,-0.945778982281,1,53.3253261063,2.43493477874,56.9116259859
DY0230,1.66214701377,1,68.9728820826,3.29457641653,69.7965941328
DY0231,-0.742782265322,0,50.5433064081,1.69133871839,49.1831346923
DY0232,0.212984585513,0,56.2779075131,1.05558150262,55.3932207271
DY0233,1.22668673351,0,62.360120401,2.27202408021,61.7575922612
DY0234,0.879533259416,1,64.2771995565,2.3554399113,62.3915068733
DY0235,1.49134736364,1,67.9480841818,3.08961683636,68.5791899185
DY0236,-1.35542820238,0,46.8674307857,2.42651384285,52.612681056
DY0237,-0.796468537945,0,50.2211887723,1.75576224553,50.070101065
DY0238,-1.87240614975,1,47.7655631015,3.5468873797,49.9303642879
DY0239,-1.47840567272,0,46.1295659637,2.57408680726,45.8832009143
DY0240,-1.50034980108,1,49.9979011935,3.1004197613,49.4528449042
DY0241,-1.8157369215,1,48.105578471,3.4788843058,55.0615402057
DY0242,0.807291777166,0,59.843750663,1.7687501326,63.0263229774
DY0243,1.33338321014,1,67.0002992608,2.90005985217,71.1052395459
DY0244,0.614747134476,1,62.6884828069,2.03769656137,60.3697279196
DY0245,-1.01691674857,1,52.8984995086,2.52030009828,50.1295744652
DY0246,-0.837620831949,0,49.9742750083,1.80514499834,50.6185522682
DY0247,-1.03980563318,0,48.7611662009,2.04776675982,47.0677678457
DY0248,1.3357445064,0,63.0144670384,2.40289340768,62.25323608
DY0249,1.08825647721,1,65.5295388632,2.60590777265,64.1167773892
DY0250,-0.0460905179768,0,54.7234568921,0.855308621572,55.088780329
DY0251,1.2921350027,1,66.7528100162,2.85056200324,66.8106537337
DY0252,0.30605180402,1,60.8363108241,1.66726216482,56.3112091497
DY0253,-0.427002628138,1,56.4379842312,1.81240315377,56.4636001512
DY0254,1.19398676868,1,66.1639206121,2.73278412241,69.1464624586
DY0255,0.537251839829,0,58.223511039,1.44470220779,58.2728246965
DY0256,-1.43056186372,1,50.4166288177,3.01667423646,50.7804229432
DY0257,-1.35554864138,0,46.8667081517,2.42665836965,45.4287410002
DY0258,0.782525865072,0,59.6951551904,1.73903103809,59.4437310377
DY0259,-0.672672978665,1,54.963962128,2.1072075744,55.9358375211
DY0260,-0.803266260601,1,54.1804024364,2.26391951272,54.4983954373
DY0261,-1.01453723888,1,52.9127765667,2.51744468666,55.2045466697
DY0262,-1.3816347306,0,46.7101916164,2.45796167672,48.2488522855
DY0263,-1.58701340546,1,49.4779195672,3.20441608655,52.274303475
DY0264,-0.697792693224,1,54.8132438407,2.13735123187,56.2975092004
DY0265,-1.25449312466,0,47.473041252,2.3053917496,48.5096592743
DY0266,-1.24179051022,1,51.5492569387,2.79014861226,53.38929393
DY0267,-1.23098945252,0,47.6140632849,2.27718734302,51.190231951
DY0268,-1.59126923976,1,49.4523845615,3.20952308771,50.6124446013
DY0269,-0.029741206859,0,54.8215527588,0.835689448231,53.4800434827
DY0270,-0.594754431337,1,55.431473412,2.0137053176,56.8133856842
DY0271,0.591122457906,1,62.5467347474,2.00934694949,62.6285766566
DY0272,-0.839345164454,0,49.9639290133,1.80721419734,49.4768580279
DY0273,0.970449161595,0,60.8226949696,1.96453899391,59.0558808498
DY0274,1.18712721035,1,66.1227632621,2.72455265242,68.5679599618
DY0275,0.512077461982,1,62.0724647719,1.91449295438,58.0865997192
DY0276,0.969768051844,0,60.8186083111,1.96372166221,62.3296936283
DY0277,1.10673901683,1,65.640434101,2.6280868202,69.3419483474
DY0278,0.427196205699,1,61.5631772342,1.81263544684,63.8707074647
DY0279,1.14037330633,0,61.842239838,2.1684479676,61.4581461145
DY0280,-0.723513026959,1,54.6589218382,2.16821563235,55.9120677089
DY0281,1.13220849136,0,61.7932509482,2.15865018964,58.2449863331
DY0282,-1.49138359827,1,50.0516984104,3.08966031792,46.4098991681
DY0283,-0.145464593886,1,58.1272124367,1.47455751266,57.0237102048
DY0284,1.32993681291,1,66.9796208774,2.89592417549,69.9952419656
DY0285,0.922923978077,1,64.5375438685,2.40750877369,68.5308458876
DY0286,-0.363312416547,1,56.8201255007,1.73597489986,57.2903522433
DY0287,1.72782012977,1,69.3669207786,3.37338415572,66.1547217858
DY0288,0.556178764291,1,62.3370725857,1.96741451715,62.6154966272
DY0289,1.30597422391,0,62.8358453435,2.36716906869,63.5091107161
DY0290,1.55291544967,0,64.317492698,2.66349853961,67.828315611
DY0291,0.415881782693,1,61.4952906962,1.79905813923,60.905627182
DY0292,1.67781624378,0,65.0668974627,2.81337949253,66.0510498164
DY0293,0.813048320469,1,63.8782899228,2.27565798456,63.8078383304
DY0294,-1.48188968815,1,50.1086618711,3.07826762579,53.9571493548
DY0295,-1.94161906896,0,43.3502855862,3.12994288275,46.3859698497
DY0296,0.391788689856,0,57.3507321391,1.27014642783,55.0395154128
DY0297,0.25818912357,0,56.5491347414,1.10982694828,56.9246704268
DY0298,-1.76392490238,1,48.4164505857,3.41670988286,50.9781777131
DY0299,-1.00108934863,1,52.9934639082,2.50130721835,47.1707377871
DY0300,0.157015826749,0,55.9420949605,0.988418992099,54.8323429623
DY0301,0.454672357294,1,61.7280341438,1.84560682875,60.7602280842
DY0302,-1.15177992547,1,52.0893204472,2.68213591056,54.5439100445
DY0303,-0.316428303584,0,53.1014301785,1.1797139643,52.494367564
DY0304,-1.32301038213,0,47.0619377072,2.38761245856,47.3242452073
DY0305,0.255897701286,1,60.5353862077,1.60707724154,59.7226422347
DY0306,-0.973030834012,1,53.1618149959,2.46763700081,52.2082773663
DY0307,1.51734107613,0,64.1040464568,2.62080929135,63.4638798653
DY0308,0.233335893128,0,56.4000153588,1.08000307175,54.25084416
DY0309,-1.40125941409,1,50.5924435154,2.98151129691,49.0556654976
DY0310,0.0724751635472,0,55.4348509813,0.886970196257,55.4419947585
DY0311,-1.00865565268,0,48.9480660839,2.01038678322,48.2548612534
DY0312,-1.05071849151,0,48.6956890509,2.06086218981,50.9273179682
DY0313,0.108583384443,1,59.6515003067,1.43030006133,60.6732171899
DY0314,-0.699677306912,0,50.8019361585,1.63961276829,50.9667875445
DY0315,-0.887577709199,1,53.6745337448,2.36509325104,55.9910395749
DY0316,-1.81552944455,0,44.1068233327,2.97863533346,45.1500977119
DY0317,0.722351930973,0,59.3341115858,1.66682231717,58.4765197656
DY0318,1.82469507439,0,65.9481704463,2.98963408927,66.984101513
DY0319,0.272916995866,1,60.6375019752,1.62750039504,61.6020551893
DY0320,1.00134979481,1,65.0080987688,2.50161975377,63.0974683842
DY0321,0.788414631294,0,59.7304877878,1.74609755755,58.4292179525
DY0322,-1.70712639557,1,48.7572416266,3.34855167469,49.1055642335
DY0323,-0.33672700396,0,52.9796379762,1.20407240475,54.5822835778
DY0324,1.77054617891,0,65.6232770735,2.92465541469,68.8156847298
DY0325,0.581487214203,0,58.4889232852,1.49778465704,60.4871811593
DY0326,0.339310878208,1,61.0358652692,1.70717305385,61.1318285421
DY0327,-0.544378102839,1,55.733731383,1.95325372341,56.2453040026
DY0328,0.653032303131,1,62.9181938188,2.08363876376,63.7341148403
DY0329,0.0348769284956,1,59.209261571,1.34185231419,58.2105082145
DY0330,0.889193949534,0,60.3351636972,1.86703273944,59.0742874615
DY0331,-1.07567809522,1,52.5459314287,2.59081371427,49.8837895072
DY0332,1.20982167795,0,62.2589300677,2.25178601354,61.5726362257
DY0333,-1.47002208972,1,50.1798674617,3.06402650767,48.826107974
DY0334,-0.115644080099,0,54.3061355194,0.938772896118,55.0856110249
DY0335,0.305674008056,1,60.8340440483,1.66680880967,59.1686249752
DY0336,1.04683495708,0,61.2810097425,2.0562019485,65.6439273836
DY0337,-0.331623658008,1,57.0102580519,1.69794838961,56.7341299689
DY0338,0.136379457986,0,55.8182767479,0.963655349583,54.598943598
DY0339,-0.77546070839,0,50.3472357497,1.73055285007,45.7143447668
DY0340,-0.33415086659,1,56.9950948005,1.70098103991,59.8806714527
DY0341,1.6234436269,0,64.7406617614,2.74813235228,62.9083047194
DY0342,1.08554275516,0,61.513256531,2.10265130619,59.483312129
DY0343,1.72415716079,0,65.3449429647,2.86898859294,63.3599431446
DY0344,0.0684603571475,1,59.4107621429,1.38215242858,60.5169917304
DY0345,-1.70081349509,0,44.7951190294,2.84097619411,44.6181426965
DY0346,1.95611464148,1,70.7366878489,3.64733756978,71.3430567601
DY0347,-0.57685398665,1,55.5388760801,1.99222478398,55.5043517741
DY0348,1.21134055045,1,66.2680433027,2.75360866054,64.6038401555
DY0349,1.22662979692,1,66.3597787815,2.77195575631,67.0952243006
DY0350,-1.62187544876,1,49.2687473074,3.24625053851,46.7450085203
DY0351,-1.33516146795,1,50.9890311923,2.90219376154,52.1046411159
DY0352,-0.135468855447,1,58.1871868673,1.46256262654,58.8020555452
DY0353,-0.537853190919,0,51.7728808545,1.4454238291,49.7826571174
DY0354,-0.162148714081,1,58.0271077155,1.4945784569,57.5075941824
DY0355,1.9444172444,0,66.6665034664,3.13330069328,61.7860111218
DY0356,-0.965194029408,1,53.2088358236,2.45823283529,62.2091527281
DY0357,0.994440019406,0,60.9666401164,1.99332802329,60.2816722484
DY0358,-1.54745956935,0,45.7152425839,2.65695148321,46.5536217558
DY0359,1.72779726123,0,65.3667835674,2.87335671348,62.7131944937
DY0360,-1.68023047778,0,44.9186171333,2.81627657333,40.6108888516
DY0361,-1.71174009255,0,44.7295594447,2.85408811106,46.3897941836
DY0362,0.73617027025,1,63.4170216215,2.1834043243,62.4258720019
DY0363,0.206479115018,1,60.2388746901,1.54777493802,60.7295003639
DY0364,-0.915580237782,1,53.5065185733,2.39869628534,59.6563250166
DY0365,0.240422238202,1,60.4425334292,1.58850668584,59.3511381214
DY0366,-0.439387648744,0,52.3636741075,1.32726517849,54.4944539191
DY0367,1.26116127849,1,66.566967671,2.81339353419,65.3442052628
DY0368,-1.63851264231,1,49.1689241461,3.26621517077,50.1623607067
DY0369,1.47601885499,1,67.85611313,3.07122262599,63.9084785008
DY0370,-1.84638154962,0,43.9217107023,3.01565785954,45.3377729273
DY0371,-1.79901738247,1,48.2058957052,3.45882085896,45.6666487109
DY0372,-1.91893974264,1,47.4863615442,3.60272769116,44.0586018417
DY0373,-0.314954684276,1,57.1102718943,1.67794562113,58.3915499717
DY0374,-1.60936045007,1,49.3438372996,3.23123254008,50.2651748568
DY0375,1.42635196335,0,63.5581117801,2.51162235602,65.4091641259
DY0376,-1.6563443908,0,45.0619336552,2.78761326895,41.7087855918
DY0377,-0.579427167468,1,55.5234369952,1.99531260096,49.3699215488
DY0378,-0.533504325987,1,55.7989740441,1.94020519118,59.17251993
DY0379,0.906230055144,1,64.4373803309,2.38747606617,65.6948852957
DY0380,-0.4463174551,0,52.3220952694,1.33558094612,50.430107095
DY0381,1.45377800304,1,67.7226680182,3.04453360365,75.0641665949
DY0382,0.585405523099,1,62.5124331386,2.00248662772,61.7118687541
DY0383,-1.83874292554,1,47.9675424468,3.50649151065,51.7408703023
DY0384,0.526077560519,0,58.1564653631,1.43129307262,55.8886112039
DY0385,-1.48135945486,0,46.1118432708,2.57763134583,43.3999110754
DY0386,0.817650509778,0,59.9059030587,1.78118061173,58.8735719675
DY0387,0.407867352232,1,61.4472041134,1.78944082268,58.9033937134
DY0388,-1.6587219111,0,45.0476685334,2.79046629331,46.8640639754
DY0389,0.129118459503,1,59.774710757,1.4549421514,60.0125993238
DY0390,-0.776360235838,0,50.341838585,1.73163228301,51.1723856829
DY0391,0.360682859886,0,57.1640971593,1.23281943186,57.2414145624
DY0392,-1.2550469074,1,51.4697185556,2.80605628888,48.2162624208
DY0393,-1.25092037299,0,47.4944777621,2.30110444758,48.2408039597
DY0394,-1.79581956617,1,48.225082603,3.4549834794,50.9928670457
DY0395,-1.5874891068,1,49.4750653592,3.20498692816,45.9800320392
