obs_id,date,month,time_index,temperature
TC057,2018-09-01,9,56,21.0135162
TC058,2018-10-01,10,57,22.4884708
TC059,2018-11-01,11,58,22.81298826
TC060,2018-12-01,12,59,24.83517258
TC061,2019-01-01,1,60,27.13664857
TC062,2019-02-01,2,61,26.73840691
TC063,2019-03-01,3,62,27.35678307
TC064,2019-04-01,4,63,28.52070728
TC065,2019-05-01,5,64,27.17500971
TC066,2019-06-01,6,65,24.16244777
TC067,2019-07-01,7,66,22.53161687
TC068,2019-08-01,8,67,21.11396912
TC069,2019-09-01,9,68,21.89148122
TC070,2019-10-01,10,69,22.11788844
TC071,2019-11-01,11,70,23.30584665
TC072,2019-12-01,12,71,23.70948139
TC073,2020-01-01,1,72,24.54829244
TC074,2020-02-01,2,73,25.82818948
TC075,2020-03-01,3,74,26.29493062
TC076,2020-04-01,4,75,27.52153685
TC077,2020-05-01,5,76,28.64820624
TC078,2020-06-01,6,77,27.20544891
TC079,2020-07-01,7,78,22.94603839
TC080,2020-08-01,8,79,21.48712609
TC081,2020-09-01,9,80,22.62137505
TC082,2020-10-01,10,81,22.41417114
TC083,2020-11-01,11,82,22.92076627
TC084,2020-12-01,12,83,22.4352013
TC085,2021-01-01,1,84,24.73384351
TC086,2021-02-01,2,85,24.13546121
TC087,2021-03-01,3,86,25.127831
TC088,2021-04-01,4,87,25.20474961
TC089,2021-05-01,5,88,25.76179215
TC090,2021-06-01,6,89,24.90497683
TC091,2021-07-01,7,90,22.33224319
TC092,2021-08-01,8,91,21.05539744
TC093,2021-09-01,9,92,21.41609549
TC094,2021-10-01,10,93,21.14357973
TC095,2021-11-01,11,94,23.18312446
TC096,2021-12-01,12,95,24.97409444
TC097,2022-01-01,1,96,26.00991177
TC098,2022-02-01,2,97,28.2714231
TC099,2022-03-01,3,98,29.31587205
TC100,2022-04-01,4,99,27.19757099
TC101,2022-05-01,5,100,26.48563419
TC102,2022-06-01,6,101,26.25112784
TC103,2022-07-01,7,102,26.13170116
TC104,2022-08-01,8,103,22.84740502
TC105,2022-09-01,9,104,20.24742484
TC106,2022-10-01,10,105,21.69344449
TC107,2022-11-01,11,106,22.74051896
TC108,2022-12-01,12,107,24.94684193
TC109,2023-01-01,1,108,26.0051699
TC110,2023-02-01,2,109,27.69508431
TC111,2023-03-01,3,110,27.08049694
TC112,2023-04-01,4,111,25.42321274
TC113,2023-05-01,5,112,24.08629724
TC114,2023-06-01,6,113,23.60007456
TC115,2023-07-01,7,114,22.82027863
TC116,2023-08-01,8,115,22.50626804
TC117,2023-09-01,9,116,20.69017866
TC118,2023-10-01,10,117,19.51966996
TC119,2023-11-01,11,118,22.09255506
TC120,2023-12-01,12,119,26.55521687
TC121,2024-01-01,1,120,27.0830385
TC122,2024-02-01,2,121,30.11554644
TC123,2024-03-01,3,122,30.47057392
TC124,2024-04-01,4,123,29.25287986
TC125,2024-05-01,5,124,28.4712486
TC126,2024-06-01,6,125,27.68527276
TC127,2024-07-01,7,126,23.20614837
TC128,2024-08-01,8,127,20.7529089
TC129,2024-09-01,9,128,20.90876716
TC130,2024-10-01,10,129,20.47486764
TC131,2024-11-01,11,130,23.86904883
TC132,2024-12-01,12,131,23.6812634
TC133,2025-01-01,1,132,24.94370103
TC134,2025-02-01,2,133,28.6530702
TC135,2025-03-01,3,134,28.02759771
TC136,2025-04-01,4,135,27.47726736
TC137,2025-05-01,5,136,26.08786365
TC138,2025-06-01,6,137,22.31548325
TC139,2025-07-01,7,138,20.65855289
TC140,2025-08-01,8,139,20.81954844
TC141,2025-09-01,9,140,19.91980975
TC142,2025-10-01,10,141,20.82884432
TC143,2025-11-01,11,142,20.03071544
TC144,2025-12-01,12,143,22.14273217
