obs_id,site,block,genotype,nitrogen,yield
HY0107,S3,S3_B4,G2,40,61.6512435446
HY0108,S3,S3_B4,G2,120,67.6861791963
HY0109,S3,S3_B4,G3,40,57.9976919062
HY0110,S3,S3_B4,G3,120,61.4142131294
HY0111,S3,S3_B4,G4,40,63.7794748943
HY0112,S3,S3_B4,G4,120,71.947720622
HY0113,S3,S3_B5,G1,40,54.8461009312
HY0114,S3,S3_B5,G1,120,56.5319780485
HY0115,S3,S3_B5,G2,40,54.0990360303
HY0116,S3,S3_B5,G2,120,62.7613039516
HY0117,S3,S3_B5,G3,40,50.3706762514
HY0118,S3,S3_B5,G3,120,58.2687688119
HY0119,S3,S3_B5,G4,40,57.0006758596
HY0120,S3,S3_B5,G4,120,70.953405717
HY0121,S4,S4_B1,G1,40,56.6369575937
HY0122,S4,S4_B1,G1,120,68.4145514965
HY0123,S4,S4_B1,G2,40,59.2778300457
HY0124,S4,S4_B1,G2,120,70.7361504606
HY0125,S4,S4_B1,G3,40,58.381690383
HY0126,S4,S4_B1,G3,120,64.0034076156
HY0127,S4,S4_B1,G4,40,61.5006492683
HY0128,S4,S4_B1,G4,120,75.4995700537
HY0129,S4,S4_B2,G1,40,60.5093650593
HY0130,S4,S4_B2,G1,120,67.7434704182
HY0131,S4,S4_B2,G2,40,59.7499603635
HY0132,S4,S4_B2,G2,120,69.4711413737
HY0133,S4,S4_B2,G3,40,58.3220018982
HY0134,S4,S4_B2,G3,120,65.4086911401
HY0135,S4,S4_B2,G4,40,65.5831314468
HY0136,S4,S4_B2,G4,120,73.222478935
HY0137,S4,S4_B3,G1,40,56.677569098
HY0138,S4,S4_B3,G1,120,68.9177330815
HY0139,S4,S4_B3,G2,40,64.9050510099
HY0140,S4,S4_B3,G2,120,69.125395638
HY0141,S4,S4_B3,G3,40,57.3235091636
HY0142,S4,S4_B3,G3,120,67.9220569943
HY0143,S4,S4_B3,G4,40,67.8442929051
HY0144,S4,S4_B3,G4,120,73.4260581244
HY0145,S4,S4_B4,G1,40,59.2733672795
HY0146,S4,S4_B4,G1,120,71.0165667196
HY0147,S4,S4_B4,G2,40,62.6045220686
HY0148,S4,S4_B4,G2,120,71.1673263675
HY0149,S4,S4_B4,G3,40,61.2994508572
HY0150,S4,S4_B4,G3,120,69.9244324388
HY0151,S4,S4_B4,G4,40,65.6551662606
HY0152,S4,S4_B4,G4,120,76.7967549222
HY0153,S4,S4_B5,G1,40,63.3781008154
HY0154,S4,S4_B5,G1,120,68.2284156934
HY0155,S4,S4_B5,G2,40,61.3840276611
HY0156,S4,S4_B5,G2,120,70.9304662058
HY0157,S4,S4_B5,G3,40,58.11125949
HY0158,S4,S4_B5,G3,120,67.2386073118
HY0159,S4,S4_B5,G4,40,65.8415419501
HY0160,S4,S4_B5,G4,120,76.1375810665
