obs_id,x,z,response,true_sigma
HR059,6.127285576,-0.7033709169,25.0256062,2.744549952
HR060,4.533653101,-0.6609291885,20.00967269,2.186778585
HR061,8.743141547,-2.552212655,23.45927023,3.660099541
HR062,7.282535442,0.9369272256,24.85404841,3.148887405
HR063,4.372346213,-0.0004789709884,19.51506753,2.130321175
HR064,3.728660962,0.09567966686,14.006747,1.905031337
HR065,5.650626656,0.3043264056,22.47292923,2.57771933
HR066,8.819613944,-1.271681829,30.69901914,3.686864881
HR067,9.802812878,-0.002148774018,22.94417132,4.030984507
HR068,3.639178414,-0.02732387841,17.80297666,1.873712445
HR069,5.857950776,1.054918003,22.85862937,2.650282772
HR070,9.515252503,-0.8585313248,29.41368538,3.930338376
HR071,8.967152606,0.3077618528,29.94877115,3.738503412
HR072,8.687311953,2.783344415,36.02624097,3.640559183
HR073,5.489714325,0.1809476113,18.93700565,2.521400014
HR074,8.1903049,0.08871595686,26.22449343,3.466606715
HR075,6.06878532,-2.595063324,25.24909312,2.724074862
HR076,2.089903913,1.645230744,13.66536543,1.331466369
HR077,1.578184514,-0.9898891678,15.67731572,1.15236458
HR078,7.373436169,-0.5131709657,24.09484437,3.180702659
HR079,4.412017691,-1.513969564,21.18332104,2.144206192
HR080,2.322300654,1.031371688,13.70908185,1.412805229
HR081,9.184389028,0.4324717365,18.58163519,3.81453616
HR082,0.2877648912,-0.8419390861,10.98307686,0.7007177119
HR083,9.951110412,-0.725075246,25.70994512,4.082888644
HR084,0.8778189396,1.896556667,11.12591519,0.9072366289
HR085,7.416834357,-0.2786731328,26.72818745,3.195892025
HR086,5.013068138,-0.02670118975,20.18781178,2.354573848
HR087,8.839741307,-1.522319571,27.37450943,3.693909458
HR088,8.639164365,0.6058503725,25.08786214,3.623707528
HR089,3.782231777,0.4225218385,18.84073413,1.923781122
HR090,1.567073484,2.930746156,9.713243485,1.148475719
HR091,6.753178811,-0.0349214431,22.12924209,2.963612584
HR092,1.442044586,-0.01759402393,13.17852235,1.104715605
HR093,7.677004326,-0.5100999026,24.7459512,3.286951514
HR094,6.009045758,-0.7131469037,23.57711221,2.703166015
HR095,6.221935022,-0.9170717991,23.17600334,2.777677258
HR096,7.111718265,-0.278060603,20.78263121,3.089101393
HR097,4.616738436,-1.724752404,22.06808954,2.215858453
HR098,7.252098686,-0.4340047938,22.91642782,3.13823454
HR099,5.486256189,1.160504025,18.21782439,2.520189666
HR100,1.857936118,0.0491227269,14.44555446,1.250277641
HR101,4.850509369,1.899098896,16.98414266,2.297678279
HR102,4.048027988,1.24570413,16.96660104,2.016809796
HR103,2.04715187,-1.343657111,16.78455912,1.316503155
HR104,2.877287321,0.1352384129,14.33654962,1.607050562
HR105,1.683862994,2.289973161,10.32828574,1.189352048
HR106,0.9577167518,-0.4890746339,11.22340363,0.9352008631
HR107,4.91521565,-0.727945803,18.79315428,2.320325477
HR108,0.6597222833,0.35571574,11.36266878,0.8309027992
HR109,4.493080117,1.798935893,20.70856834,2.172578041
HR110,3.245237985,1.006680476,17.59672528,1.735833295
HR111,0.2115966099,-0.8020933358,11.15532525,0.6740588134
HR112,4.335159273,-1.108557996,19.31590894,2.117305745
HR113,7.248109324,0.2639341755,23.12810275,3.136838263
HR114,4.990257013,1.12185657,23.89743502,2.346589955
HR115,5.303973621,0.6614523279,18.79931561,2.456390768
HR116,0.2346628927,0.4596511358,11.40165675,0.6821320124
HR117,5.21640465,-0.517140099,19.54366549,2.425741628
HR118,9.37000053,-0.6601952256,34.11596543,3.879500185
HR119,6.155507135,0.4352364557,20.31332442,2.754427497
HR120,5.664566253,0.1142683773,19.46631104,2.582598188
HR121,3.97041603,-0.1097938741,17.55977385,1.989645611
HR122,0.8248505394,0.2609297896,11.81244871,0.8886976888
HR123,3.068333209,-0.8737450272,15.95571812,1.673916623
HR124,7.746900615,0.1742811096,23.7889121,3.311415215
HR125,2.382389109,0.06919360211,15.30367728,1.433836188
HR126,3.554340932,-1.351669736,16.67171195,1.844019326
HR127,7.114186392,-0.2085276388,21.25636117,3.089965237
HR128,5.95163466,1.044103569,21.40908972,2.683072131
HR129,6.895188531,0.05928605792,28.12367677,3.013315986
HR130,4.273593778,-1.783795115,18.45154526,2.095757822
HR131,8.343790476,-1.006453403,30.50586164,3.520326667
HR132,6.485945976,-0.3067053443,24.98050314,2.870081092
HR133,5.689827259,1.190734428,24.35019911,2.59143954
HR134,6.486668844,1.104463667,19.83603116,2.870334095
HR135,1.471471883,1.797013486,10.22093504,1.115015159
HR136,3.400288277,-0.7943972198,13.07925762,1.790100897
HR137,5.82586642,-0.7259439417,19.80917596,2.639053247
HR138,6.514921043,-1.285923337,25.54558839,2.880222365
HR139,4.363311021,-0.9702238241,18.30030304,2.127158857
HR140,3.515956346,-0.2693567909,16.45710019,1.830584721
HR141,8.377524614,1.364886136,25.46581972,3.532133615
HR142,8.720596171,-0.4973717806,27.05352435,3.65220866
HR143,6.927004992,0.4757683971,20.59600215,3.024451747
HR144,3.038475158,1.626397836,13.4207783,1.663466305
HR145,2.882287249,0.360175375,12.94378527,1.608800537
HR146,2.311972311,-0.6615571717,16.17663266,1.409190309
HR147,7.918294167,0.02098722035,21.28741613,3.371402959
HR148,4.771256516,0.4332771439,23.51302674,2.269939781
HR149,4.444506817,0.2298720766,17.69750697,2.155577386
HR150,5.773088436,0.9418840406,20.65154416,2.620580953
HR151,5.435608297,-0.07211530784,23.06239236,2.502462904
HR152,9.761252371,-0.3298560462,26.78733481,4.01643833
HR153,2.857104104,0.1764253196,13.83469217,1.599986436
HR154,9.018615223,0.1412590159,32.26463088,3.756515328
HR155,1.084292937,-0.2739441715,14.45007547,0.979502528
HR156,8.255459779,-0.3336539031,27.92231566,3.489410923
HR157,1.414307336,0.2451062893,14.08093392,1.095007568
HR158,1.444494976,-0.7404867762,12.33644484,1.105573241
HR159,8.204854649,0.928125999,29.7889163,3.471699127
HR160,6.642930497,-2.159972105,25.95778469,2.925025674
HR161,3.51923862,-0.02317457218,20.05633357,1.831733517
HR162,1.728383742,0.4791853679,15.01697973,1.20493431
HR163,0.5279742027,1.389935662,9.805011007,0.7847909709
HR164,3.708553088,1.016773445,16.59955397,1.897993581
HR165,1.274597552,0.2673546642,13.387227,1.046109143
HR166,4.040164261,-1.141318099,20.4107335,2.014057491
HR167,5.987844457,-0.6498302949,18.61975958,2.69574556
HR168,5.485128716,1.037380114,20.43360729,2.519795051
HR169,1.48989507,0.681124617,12.72044965,1.121463274
HR170,7.94563596,-0.007428937971,22.36471525,3.380972586
HR171,3.103906066,0.6179185109,16.72384354,1.686367123
HR172,6.757915962,-0.4557638459,24.2876815,2.965270587
HR173,1.388216424,1.052837593,12.9866964,1.085875748
HR174,3.188732225,0.2743412829,16.55916179,1.716056279
HR175,5.874861006,-1.039639954,24.88691776,2.656201352
HR176,4.382564017,-0.2336890335,18.01803945,2.133897406
HR177,4.367381318,-1.073643963,19.39230371,2.128583461
HR178,6.124164253,-0.7943223696,27.36843367,2.743457488
HR179,8.092326362,-0.7332325717,28.89687558,3.432314227
HR180,5.370678723,-1.376402092,19.13286065,2.479737553
HR181,2.199144232,-0.6533769326,14.85366827,1.369700481
HR182,0.8127190639,1.317993662,11.32727393,0.8844516724
HR183,3.327843655,1.325082561,15.87116538,1.764745279
HR184,5.939854781,1.746377366,18.79175031,2.678949173
HR185,1.060285754,-0.6661882496,13.26756403,0.9711000139
HR186,7.175399363,0.3584892308,23.08218189,3.111389777
HR187,2.057118101,-0.8006172261,17.4167801,1.319991335
HR188,9.062600189,0.5903276675,24.15381768,3.771910066
HR189,9.239164815,0.5802797678,23.96387278,3.833707685
HR190,4.17162579,0.2213768225,16.83120323,2.060069027
HR191,0.3007146462,-0.7501082358,9.510013144,0.7052501262
HR192,7.314722351,-0.7932595202,23.03406644,3.160152823
HR193,7.02415927,-1.989274785,22.69331304,3.058455745
HR194,2.158451883,0.4505919101,13.16276007,1.355458159
HR195,2.124843477,0.8093362843,14.21180552,1.343695217
HR196,8.009134954,1.197195142,21.95841032,3.403197234
HR197,3.001059211,-0.9732901434,17.16607659,1.650370724
HR198,2.086219054,1.182094898,11.73338982,1.330176669
HR199,5.619330642,-0.8695698827,22.75034622,2.566765725
HR200,6.782987928,-0.9513339109,22.36979777,2.974045775
HR201,5.287656555,-0.1809659846,23.03806121,2.450679794
HR202,0.2738926429,1.753105539,9.759827636,0.695862425
HR203,5.929663355,-1.393127783,23.78473347,2.675382174
HR204,0.823951071,-0.3524555235,12.0364877,0.8883828749
HR205,6.531706518,0.4651667821,18.21282171,2.886097281
HR206,0.5983889722,0.2814132026,10.79557766,0.8094361403
HR207,6.686033763,-0.4077843623,28.35580839,2.940111817
HR208,2.78585011,0.2685522342,15.95489146,1.575047538
HR209,3.961753498,-1.601030461,19.87398024,1.986613724
HR210,2.475494865,-1.081022136,16.6771643,1.466423203
HR211,2.926764648,-0.8104373941,15.07737985,1.624367627
HR212,0.790484227,-0.7820997879,12.84183334,0.8766694794
HR213,7.14553905,0.8247919699,22.96110635,3.100938667
HR214,5.667142863,-0.5426267039,17.54475326,2.583500002
HR215,4.60888609,1.639051758,14.6415749,2.213110131
HR216,8.351012307,1.958384548,25.08056799,3.522854308
HR217,5.33418539,-0.1124798832,22.51715415,2.466964887
HR218,7.493344379,-0.7076676966,29.42338156,3.222670533
HR219,1.317098415,-0.8920362913,12.84818908,1.060984445
HR220,8.062119359,-0.801147407,24.54793836,3.421741776
HR221,6.296554954,-0.4968430416,22.99277717,2.803794234
HR222,3.354439475,2.009784904,19.00250489,1.774053816
HR223,7.854814851,-0.4646080728,27.30951447,3.349185198
HR224,8.915101246,-1.101595368,31.03972222,3.720285436
HR225,3.703610926,0.5098899283,19.00291256,1.896263824
HR226,1.606166339,1.147495853,12.10019157,1.162158218
HR227,1.905858011,1.245043516,13.51421057,1.267050304
HR228,9.909046535,0.1473130756,32.64604816,4.068166287
HR229,3.98065977,0.9590166379,13.4056545,1.99323092
HR230,4.326244905,0.7135987698,14.29786596,2.114185717
HR231,9.91712757,-0.4571102119,32.75111457,4.07099465
HR232,8.510937795,-0.3242126613,28.28061186,3.578828228
HR233,7.286375932,0.5018060745,29.90807232,3.150231576
HR234,6.748580936,-1.606478129,25.65991408,2.962003328
HR235,5.067564173,-0.064981415,18.45317564,2.37364746
HR236,2.597374664,0.5760582052,15.32699697,1.509081133
HR237,6.228266097,0.8177461955,18.84560145,2.779893134
HR238,4.857984898,-0.6880415852,20.41836134,2.300294714
HR239,1.215908399,1.040707949,12.43797141,1.02556794
HR240,5.121557468,1.623967127,19.16458553,2.392545114
HR241,7.218682966,-2.439927259,24.09512808,3.126539038
HR242,4.016467518,-0.174303057,19.01725319,2.005763631
HR243,7.410121683,-0.4465405846,24.6095414,3.193542589
HR244,9.039139873,-0.1898544688,28.77692737,3.763698956
HR245,6.637030561,-0.5594392933,26.67689501,2.922960696
HR246,8.838959642,-0.8717453949,21.87554283,3.693635875
HR247,7.915813044,-0.04950589553,21.34146784,3.370534565
HR248,4.837260785,0.6927209439,22.0091269,2.293041275
HR249,5.402096515,1.430587651,18.39613486,2.49073378
HR250,1.40218011,0.1282798222,13.56498877,1.090763038
HR251,8.761313695,0.4771012786,26.34109852,3.666459793
HR252,8.807401724,0.606430631,33.57946262,3.682590604
HR253,8.442870507,-0.3188167317,29.89945788,3.555004678
HR254,8.333158233,-2.322581871,21.9836867,3.516605382
HR255,6.010171046,-0.5752673598,22.83698419,2.703559866
HR256,1.603747306,-1.05714092,12.55715333,1.161311557
HR257,4.649910867,0.3028877586,17.74627894,2.227468803
HR258,3.41144891,1.110231294,17.29964143,1.794007119
HR259,5.812836566,0.2976888442,20.01428573,2.634492798
HR260,6.855710338,-0.07155717259,26.16615756,2.999498618
HR261,8.872223121,-2.220732561,28.59202181,3.705278092
HR262,8.536956792,0.2376423224,28.17748906,3.587934877
HR263,3.670173574,-0.6257182731,17.98774846,1.884560751
HR264,3.359227519,0.3711059127,17.02730232,1.775729632
HR265,1.974900724,0.01253545938,16.20399786,1.291215253
HR266,7.090307346,-0.3830989208,30.77247146,3.081607571
HR267,4.443793177,-0.7278209442,22.39266345,2.155327612
HR268,3.576366526,0.08718561273,16.7501095,1.851728284
HR269,6.032869555,-0.7170134848,18.22738383,2.711504344
HR270,2.771189396,0.156743092,14.41676423,1.569916289
HR271,6.375305407,-0.4647789449,22.41794785,2.831356892
HR272,4.530215939,1.454177946,13.66187228,2.185575579
HR273,2.453498661,-0.3028680262,16.2282919,1.458724531
HR274,2.152152553,-0.01469763394,14.65553906,1.353253394
HR275,4.652959785,-0.2235805908,19.59819998,2.228535925
HR276,3.448845257,0.3724270225,20.38343733,1.80709584
HR277,3.017413634,-1.094140499,18.55648055,1.656094772
HR278,1.973048256,-1.299966074,12.98564881,1.29056689
HR279,9.043401635,0.0202050829,26.58548961,3.765190572
HR280,4.049521959,0.8430974238,18.33961506,2.017332685
HR281,5.984450101,0.6876598145,23.59093152,2.694557535
HR282,1.285931977,-0.06068501427,11.58424249,1.050076192
HR283,5.093498307,0.3056927517,18.56566254,2.382724407
HR284,0.05793585369,-0.8351947773,11.48575987,0.6202775488
HR285,8.200954514,-1.519701508,31.65567402,3.47033408
HR286,3.478414237,-0.8278046885,17.02254993,1.817444983
HR287,0.9017103919,0.8879336818,11.70644872,0.9155986372
HR288,5.278792307,-1.748501966,22.49302249,2.447577308
HR289,3.897644146,1.415927659,18.55291974,1.964175451
HR290,4.519604357,0.2125704338,18.40652476,2.181861525
HR291,5.714616696,0.1762936842,21.12716097,2.600115843
HR292,8.734901013,-1.078441384,27.1319528,3.657215354
HR293,3.54300496,-0.6218479632,16.71331999,1.840051736
HR294,1.050974496,0.598537255,14.15443738,0.9678410735
HR295,6.857557148,-0.4565602273,24.34102512,3.000145002
HR296,7.278783403,-1.029997273,26.71247225,3.147574191
HR297,2.006515334,-0.3995352041,14.30808966,1.302280367
HR298,7.115447822,0.1512668731,27.76753708,3.090406738
HR299,2.92897526,0.2021608808,16.16742267,1.625141341
HR300,4.326186845,1.84427326,17.35917233,2.114165396
