plot,treatment,time,count,true_mean
P029,bio,2,2,6.61910258185
P029,bio,3,7,7.92450453928
P030,chemical,0,1,2.25478142719
P030,chemical,1,2,2.69946347467
P030,chemical,2,6,3.23184454299
P030,chemical,3,2,3.86922040178
P031,control,0,3,4.41209599665
P031,control,1,16,5.28223793495
P031,control,2,7,6.32398697187
P031,control,3,4,7.57118700687
P032,bio,0,3,3.09166770092
P032,bio,1,2,3.70139825255
P032,bio,2,7,4.43137825578
P032,bio,3,4,5.30532299037
P033,chemical,0,3,2.12272902045
P033,chemical,1,6,2.54136804049
P033,chemical,2,4,3.04256994415
P033,chemical,3,2,3.64261756565
P034,control,0,3,4.13399954412
P034,control,1,6,4.94929603336
P034,control,2,4,5.92538314637
P034,control,3,10,7.09397158599
P035,bio,0,5,2.88177204053
P035,bio,1,5,3.45010752348
P035,bio,2,5,4.13052863175
P035,bio,3,6,4.94514059681
P036,chemical,0,1,1.78618018743
P036,chemical,1,3,2.13844593406
P036,chemical,2,2,2.56018460236
P036,chemical,3,6,3.06509745874
P037,control,0,3,5.2177623438
P037,control,1,1,6.24679567464
P037,control,2,7,7.47877224555
P037,control,3,15,8.95371598721
P038,bio,0,6,2.21003265253
P038,bio,1,2,2.64588946468
P038,bio,2,5,3.16770480801
P038,bio,3,2,3.7924311974
P039,chemical,0,5,3.52942935848
P039,chemical,1,11,4.22549410989
P039,chemical,2,5,5.05883491612
P039,chemical,3,11,6.05652499875
P040,control,0,6,4.19489827765
P040,control,1,1,5.02220505454
P040,control,2,3,6.01267109245
P040,control,3,6,7.19847423062
P041,bio,0,0,2.38792651056
P041,bio,1,2,2.8588670803
P041,bio,2,3,3.42268530739
P041,bio,3,14,4.09769827851
P042,chemical,0,0,1.36324078783
P042,chemical,1,2,1.63209554131
P042,chemical,2,5,1.95397312033
P042,chemical,3,0,2.33933054673
P043,control,0,4,3.7423232463
P043,control,1,3,4.48037436888
P043,control,2,11,5.36398198771
P043,control,3,9,6.42185237116
P044,bio,0,2,2.46458470512
P044,bio,1,4,2.95064360185
P044,bio,2,8,3.53256175252
P044,bio,3,3,4.22924426642
P045,chemical,0,1,1.70771715537
P045,chemical,1,1,2.04450862971
P045,chemical,2,1,2.44772123054
P045,chemical,3,2,2.93045435728
P046,control,0,17,6.55983753411
P046,control,1,18,7.85355139509
P046,control,2,3,9.40240809237
P046,control,3,13,11.2567262233
P047,bio,0,2,2.17127186886
P047,bio,1,3,2.59948438146
P047,bio,2,1,3.11214783665
P047,bio,3,2,3.72591742664
P048,chemical,0,4,1.98551114522
P048,chemical,1,3,2.37708841773
P048,chemical,2,6,2.84589152738
P048,chemical,3,5,3.40715075014
P049,control,0,2,3.96459811964
P049,control,1,2,4.74648570663
P049,control,2,1,5.68257510179
P049,control,3,22,6.80327757911
P050,bio,0,4,2.15098696862
P050,bio,1,1,2.57519894668
P050,bio,2,6,3.08307289246
P050,bio,3,5,3.69110839862
P051,chemical,0,3,2.24198181441
P051,chemical,1,3,2.68413955601
P051,chemical,2,2,3.2134984815
P051,chemical,3,2,3.84725617842
P052,control,0,4,4.1494611087
P052,control,1,7,4.96780688693
P052,control,2,14,5.94754466167
P052,control,3,2,7.12050373689
P053,bio,0,1,2.87396599167
P053,bio,1,3,3.44076198625
P053,bio,2,9,4.11933999231
P053,bio,3,4,4.9317453634
P054,chemical,0,3,1.90853236046
P054,chemical,1,3,2.28492808002
P054,chemical,2,2,2.73555557088
P054,chemical,3,6,3.27505462725
P055,control,0,8,4.76656727568
P055,control,1,4,5.70661710493
P055,control,2,8,6.83206108271
P055,control,3,10,8.17946215413
P056,bio,0,1,3.13223446611
P056,bio,1,3,3.74996548819
P056,bio,2,6,4.48952379357
P056,bio,3,7,5.37493583781
P057,chemical,0,3,2.36084222477
P057,chemical,1,4,2.82644130308
P057,chemical,2,4,3.38386460389
P057,chemical,3,6,4.05122145823
P058,control,0,10,5.07712531069
P058,control,1,2,6.0784225767
P058,control,2,3,7.27719304922
P058,control,3,13,8.71238187332
P059,bio,0,1,2.68818864713
P059,bio,1,1,3.21834612369
P059,bio,2,9,3.85305985981
P059,bio,3,2,4.61295016532
P060,chemical,0,0,3.5698615526
P060,chemical,1,3,4.27390023471
P060,chemical,2,3,5.11678756925
P060,chemical,3,6,6.12590692131
