obs_id,nitrogen,rainfall,soil_n,yield
LR186,37.21567416,955.3976889,1.956419915,62.38691095
LR187,122.4130651,825.2379403,2.036546886,76.84495643
LR188,96.73271893,912.6580053,1.86393892,64.20234879
LR189,27.49421727,984.9358492,1.809188592,61.40206462
LR190,25.28403104,884.4967032,1.671821671,53.51326721
LR191,90.95633996,948.7260467,1.739299212,68.92213469
LR192,65.64671832,1265.998098,2.594814381,63.24676148
LR193,9.672754623,781.529575,1.763353478,50.5012997
LR194,100.6190555,885.6334299,2.212577331,74.92584367
LR195,153.3521008,835.1503996,1.782129108,75.46452008
LR196,49.14110851,848.1809766,1.6484918,58.53627328
LR197,99.05669871,877.5878241,1.93637937,65.52579643
LR198,53.19751376,1000.373218,2.141790165,65.8018969
LR199,35.59530761,642.9149965,1.104268753,53.63220509
LR200,46.65331922,851.146413,2.480403723,65.09147167
LR201,149.1951426,946.3079989,2.779134543,79.90454562
LR202,157.9827187,886.3772052,1.96719178,78.37340819
LR203,121.2352685,878.4780209,1.931136575,71.55230941
LR204,105.071698,745.4601838,1.352204528,65.55928343
LR205,76.95157091,786.0062419,1.497470924,56.42118029
LR206,101.0521391,972.8113514,1.567554937,69.79400078
LR207,163.8829796,830.0055821,1.749226219,74.06597715
LR208,176.3465243,970.3366929,1.513298612,86.90194463
LR209,111.4598618,862.0576502,2.023751292,74.42027455
LR210,28.74874925,894.1839737,1.966195175,49.84776329
LR211,102.5573433,750.9266353,1.928026452,73.49215068
LR212,155.6645048,702.5198671,2.135088401,80.48393447
LR213,165.3108277,843.6465644,1.490503705,74.51051154
LR214,111.4229722,942.3828181,2.058856926,71.94426237
LR215,122.7459682,858.6356802,1.790892611,67.57633844
LR216,72.36574368,842.3489234,2.190102538,67.40572009
LR217,161.0821892,810.2915222,1.694806774,73.35989801
LR218,135.9727774,867.2247862,1.497628475,69.94583725
LR219,45.42299309,699.046985,1.825862096,57.22029332
LR220,119.8550617,801.8135188,1.763798947,66.25449907
LR221,169.5809595,1016.626293,1.286988228,87.6859614
LR222,26.77415365,807.1931308,1.749755301,57.25328663
LR223,10.53007949,883.6935555,1.930835196,56.2578761
LR224,143.483563,852.4524171,1.412681926,69.17526178
LR225,47.43708984,696.6586249,1.17041294,49.26146955
LR226,83.66665704,771.7349667,1.45573546,66.92135928
LR227,79.37173134,930.4812622,2.09506815,62.18629559
LR228,34.41174529,808.5913572,1.60926402,51.3095017
LR229,134.2979581,879.3491,1.831044651,74.1543135
LR230,4.671830172,973.6225814,1.508692856,49.88201193
LR231,76.65257503,978.8950137,1.695062531,68.96879128
LR232,58.64085618,764.7881442,1.868048695,58.32982636
LR233,137.2165625,988.6870753,1.227607702,77.70780423
LR234,3.545808963,809.3654508,1.77887164,52.46574268
LR235,62.13199721,854.800207,2.049634623,61.47667911
LR236,165.6615389,866.7358756,1.900171086,80.90166698
LR237,66.3239211,778.6444522,1.903905855,60.72471545
LR238,33.14147138,830.3171262,1.554710476,60.44427486
LR239,87.12941255,1043.37275,1.880298468,65.05568337
LR240,22.339118,674.3779113,1.828103707,53.46172341
