id,x1,x2,mu_truth,sigma_truth,y
DL0061,-1.634311761,-0.1994413849,1.243217331,0.5441761169,1.68178662
DL0062,2.189977876,1.129547044,3.720341853,0.7441960177,4.100456745
DL0063,2.214234777,1.806961742,4.233843901,0.7485622599,3.509098771
DL0064,-0.6980919554,0.8206867902,2.233356701,0.475656552,2.524386175
DL0065,0.8771031693,-0.5781985298,4.924988583,0.4078785705,5.042750237
DL0066,-1.169977511,-0.3472420296,1.149113469,0.4605959519,1.271568505
DL0067,0.4030000267,0.1848724028,3.829666434,0.4225400048,3.988336584
DL0068,1.977037036,-0.1438907722,4.36289685,0.6058666664,4.848153405
DL0069,1.783947848,-1.381930556,6.428683822,0.5711106126,6.067001258
DL0070,2.165279149,2.107796532,4.776623973,0.7397502468,4.356596403
DL0071,-1.969782018,0.2087964303,1.904772758,0.7045607632,0.6351734753
DL0072,-0.6466751821,-0.68967655,1.84472332,0.3664015328,1.43492123
DL0073,0.6490545696,0.1075674115,4.246378282,0.4668298225,4.899965304
DL0074,0.350316772,-1.351869108,4.905499917,0.313057019,5.444254523
DL0075,-0.876693425,1.462660148,3.062284082,0.5078048165,2.82335026
DL0076,2.114810725,0.6630078982,3.773044744,0.7306659306,3.697925641
DL0077,-0.5106046952,1.997732925,4.516854493,0.4419088451,3.987907591
DL0078,1.576902503,-0.8722166948,5.6075894,0.5338424505,6.374450708
DL0079,2.023841314,-0.7420278944,5.00581193,0.6142914365,6.009627416
DL0080,-0.9271806708,1.648506986,3.415282163,0.5168925208,3.070792776
DL0081,-0.1686751762,1.114388857,3.386958141,0.3803615317,3.47153685
DL0082,-0.6299150636,-0.6661096683,1.862482385,0.3633847115,2.606586208
DL0083,-1.296697187,-0.9088263989,1.242011621,0.4834054937,1.572780751
DL0084,-0.2993885419,0.955048614,2.96888317,0.4038899375,3.254381393
DL0085,-1.190143804,-0.4139217513,1.140089298,0.4642258847,2.068101338
DL0086,-1.539543051,-1.69283017,1.932402087,0.5271177492,2.323257357
DL0087,2.411539877,0.8137165918,3.118758413,0.7840771778,3.359381207
DL0088,1.522874839,0.3500988869,4.621849004,0.624117471,5.464113483
DL0089,2.224185708,-0.04952323765,3.859217708,0.6503534274,4.641814703
DL0090,-1.79660853,0.4280158036,1.869351894,0.6733895353,2.954303196
DL0091,0.9113180008,0.5853528174,4.600645753,0.5140372401,5.075147446
DL0092,-1.429805176,0.1862504645,1.331166274,0.6073649317,1.543004268
DL0093,-0.513419403,-1.19438537,2.529832061,0.3424154925,3.544383236
DL0094,-0.1301351195,0.04131514781,2.72286984,0.3734243215,2.378317836
DL0095,-2.411958526,-0.7036086594,2.237793505,0.6841525346,1.623386492
DL0096,2.450215744,-1.279349396,5.357300285,0.6910388339,5.381287302
DL0097,-2.133390652,0.2633852751,2.24608445,0.7340103173,2.299796582
DL0098,1.318482924,0.5047738624,4.707084039,0.5873269263,5.248377824
DL0099,0.5225992305,-0.07943924284,4.074267048,0.3440678615,4.083858625
DL0100,2.209587321,-0.7147650713,4.681022701,0.6477257177,4.90682918
DL0101,0.4802890011,0.7194801272,4.144699113,0.4364520202,3.706599696
DL0102,1.067172733,-1.136238096,5.859208806,0.442091092,6.02192998
DL0103,-1.430793705,0.2122866566,1.350285788,0.6075428669,1.448995819
DL0104,0.9925612782,-0.1134107007,4.718253926,0.4286610301,4.447444965
DL0105,-0.08363982135,0.8478158919,3.239795547,0.3650551678,3.852579798
DL0106,0.4927018645,1.515529199,5.005216466,0.4386863356,4.369085478
DL0107,-1.972148843,-1.706057186,2.163730577,0.6049867918,2.723374406
DL0108,0.5000799718,-0.2856335087,4.11136545,0.3400143949,4.450945173
DL0109,1.949550251,1.381247101,4.400742383,0.7009190451,5.118690476
DL0110,1.589894989,-1.779919141,7.431626627,0.536181098,7.803962934
DL0111,-1.585129862,-1.338729806,1.540905739,0.5353233751,0.9799963565
DL0112,-1.283079246,-0.3744836587,1.10982912,0.4809542643,0.7861290199
DL0113,0.8192884452,0.8124728646,4.62812662,0.4974719201,5.47851597
DL0114,-0.5591755406,-0.2390190357,1.865442687,0.3506515973,1.917032353
DL0115,-0.9060004936,-0.8086351154,1.509629815,0.4130800889,1.754787179
DL0116,-1.225168926,0.9369533905,2.093708564,0.5705304066,3.358801873
DL0117,-1.56918064,-1.177516657,1.402915349,0.5324525152,2.467601017
DL0118,1.698264901,-0.09438915423,4.66816711,0.5556876821,4.796482349
DL0119,-0.3791900566,0.4379434205,2.372531722,0.4182542102,2.0075378
DL0120,0.7615817844,0.3459572787,4.39901374,0.4870847212,4.148171634
DL0121,1.831429988,1.300494072,4.554298502,0.6796573978,4.708560638
DL0122,1.129368298,0.0001359380083,4.758290624,0.5532862936,4.500536518
DL0123,2.211265452,-0.873833284,4.940334942,0.6480277813,6.067179617
DL0124,0.1654680965,1.379716588,4.322152269,0.3797842574,4.195495647
DL0125,-1.731222287,-2.094122114,2.569197112,0.5616200117,2.33169155
DL0126,-1.633147949,-0.07095087841,1.296680426,0.5439666309,1.126142483
DL0127,-1.699679092,-0.6319528233,1.23792457,0.5559422366,1.546841957
DL0128,-1.860550461,-0.3013215448,1.433792525,0.584899083,1.153622247
DL0129,0.6189699234,0.6406623893,4.304341308,0.4614145862,4.419425467
DL0130,0.3524270108,-0.9103906668,4.306894755,0.313436862,4.525783118
DL0131,-1.777247429,-1.627887293,1.921664667,0.5699045372,1.371295096
DL0132,0.4384145164,0.04941859817,3.897652355,0.428914613,4.010106258
DL0133,0.861673067,-0.6967602773,5.023983625,0.4051011521,4.280575561
DL0134,-2.132561976,0.8596964174,3.057935861,0.7338611558,3.803305356
DL0135,0.05837968315,-0.3614639377,3.205243646,0.260508343,3.383002863
DL0136,-2.195631618,2.603354214,7.854459454,0.7452136912,8.221353823
DL0137,1.940733336,0.5827707036,4.098019821,0.6993320005,4.932159867
DL0138,2.076103737,-0.9976402728,5.362048771,0.6236986727,5.066074196
DL0139,1.644740365,0.007531984215,4.651570971,0.6460532657,4.291995529
DL0140,2.215711464,-0.9790400463,5.122002556,0.6488280636,5.308378832
DL0141,2.279946211,-0.1571875492,3.849342942,0.6603903179,4.571000355
DL0142,-2.005598014,-1.80966045,2.32398102,0.6110076425,2.14714839
DL0143,-1.191838744,-0.05289721603,1.1972329,0.4645309739,1.451020791
DL0144,-1.614877071,2.528833594,6.266465909,0.6406778727,5.123881625
DL0145,0.4217890872,0.4039913962,3.902784824,0.4259220357,3.433732502
DL0146,-1.142069708,0.1096796131,1.286449968,0.5555725475,1.476105281
DL0147,-1.608594143,-2.696610733,3.796306336,0.5395469457,3.110772881
DL0148,-1.144077869,-1.757199142,2.229765526,0.4559340165,1.277765134
DL0149,-1.043617188,-0.8035486883,1.352124617,0.4378510938,1.114933411
DL0150,-2.06497929,-0.8122972831,1.667075665,0.6216962722,1.85126981
DL0151,-1.813069232,1.113577859,2.908058715,0.6763524618,2.771368399
DL0152,0.009376438318,-1.096357528,3.684950561,0.2516877589,4.394912997
DL0153,-0.4009298142,-1.184918644,2.772960044,0.3221673666,2.591725113
DL0154,1.278323811,-0.02857734251,4.812015858,0.4800982859,3.998688536
DL0155,0.2570692778,0.2886803213,3.566365887,0.39627247,3.942834252
DL0156,-1.233037027,-0.9921885665,1.320721774,0.4719466648,0.7604313836
DL0157,-0.4337285868,0.1724591127,2.147413291,0.4280711456,2.383575774
DL0158,0.8263785567,-0.2758462527,4.628112361,0.3987481402,5.284606156
DL0159,0.8211687313,0.44740312,4.481795713,0.4978103716,4.581441109
DL0160,1.175820821,1.78303876,5.791851216,0.5616477478,5.977976381
DL0161,-2.111220837,-0.9067614688,1.753790982,0.6300197506,2.310821031
DL0162,2.053054826,-1.977092572,7.699493464,0.6195498688,7.988428664
DL0163,-2.104073878,0.1143928544,2.050409967,0.7287332981,2.19488864
DL0164,-2.460736697,0.06832550521,2.723750412,0.7929326054,3.040710624
DL0165,-0.6640793722,0.8058368313,2.257112853,0.469534287,2.7079103
DL0166,0.8445322953,-1.045703346,5.438098495,0.4020158132,5.212647631
DL0167,1.286367307,0.8670446283,4.82243962,0.5815461153,5.406634037
DL0168,-1.246180816,0.766867019,1.863037423,0.5743125468,1.62541558
DL0169,0.9417661768,0.1221806363,4.595971139,0.5195179118,5.078779037
DL0170,2.369688731,-1.052121091,5.009885057,0.6765439715,3.029341704
DL0171,0.5740423587,-0.8089979856,4.666673292,0.3533276246,4.653327002
DL0172,-1.248129747,0.01948255463,1.213518934,0.5746633544,0.8760134408
DL0173,0.7944174467,-0.8741340578,5.130906367,0.3929951404,4.432929087
DL0174,1.124614791,0.4423811371,4.689627291,0.5524306624,4.389232598
DL0175,-0.06684486999,-0.4422658101,2.953002222,0.2620320766,2.839369224
DL0176,1.1394783,0.2434823886,4.698386663,0.555106094,4.963735267
DL0177,0.7440929268,-0.2742870599,4.514833422,0.3839367268,4.872459225
DL0178,0.3745500674,-1.406041829,5.05370881,0.3174190121,4.847747626
DL0179,1.969685676,-1.012234258,5.524666635,0.6045434218,5.635614109
DL0180,-1.350885786,0.1790931163,1.304591491,0.5931594415,0.7140316865
DL0181,1.597849331,-0.2656040052,4.880283987,0.5376128796,5.215861613
DL0182,-2.319953586,0.1315380815,2.486192785,0.7675916455,3.826032805
DL0183,-2.113349089,0.01804834568,1.988908016,0.7304028361,1.559570649
DL0184,-0.4112019187,-0.5015178568,2.213568671,0.3240163454,1.953683821
DL0185,-1.036653793,0.8857225714,2.048115962,0.5365976828,1.645576314
DL0186,-1.466231273,1.669413478,3.621474529,0.6139216292,3.25934953
DL0187,0.9003629191,0.9605597034,4.792666279,0.5120653254,5.342635817
DL0188,0.1870199702,0.21782231,3.412418271,0.3836635946,3.112040572
DL0189,-1.736271742,0.9040205502,2.430322535,0.6625289136,2.991955486
DL0190,-1.797665804,-0.03418248557,1.47984949,0.5735798448,0.8987038832
DL0191,0.02656499892,1.527615176,4.326651766,0.3547816998,4.583708026
DL0192,-0.6764800466,0.2071839923,1.766744292,0.4717664084,2.244406319
DL0193,-2.231312372,0.264712284,2.439689029,0.7516362269,3.080627378
DL0194,0.2949737639,-0.03432901542,3.628113745,0.3030952775,3.448757442
DL0195,1.759780579,0.3663266382,4.391182973,0.6667605042,3.586615079
DL0196,-1.134969208,-0.9032140314,1.329003298,0.4542944574,1.028283013
DL0197,0.2515749641,0.555414118,3.655947164,0.3952834935,3.819238913
DL0198,-1.022291284,1.100947989,2.366053579,0.5340124312,2.991187508
DL0199,-1.511241455,0.4469140417,1.598991353,0.6220234619,0.970438664
DL0200,-1.204074466,0.6758482463,1.750292504,0.5667334039,1.086872565
DL0201,1.644309518,0.1826826299,4.569460028,0.6459757132,4.891904808
DL0202,1.888408853,0.02625312091,4.365184625,0.6899135935,4.892967053
DL0203,0.8676463462,-0.3662237964,4.738377139,0.4061763423,4.387378268
DL0204,0.4186582787,-0.1734308223,3.908694683,0.3253584902,3.764862172
DL0205,-0.3624563637,2.270898232,5.365970615,0.4152421455,5.953791902
DL0206,0.3070038632,-0.1047043484,3.665509902,0.3052606954,3.947527406
DL0207,2.052304988,1.178792374,4.047703222,0.7194148978,3.943060169
DL0208,2.398514564,-0.0510596916,3.512910969,0.6817326215,3.802184688
DL0209,0.5961072732,-0.4328805724,4.373935297,0.3572993092,3.887564195
DL0210,-1.701423632,0.3896553421,1.711467522,0.6562562538,2.317550902
DL0211,0.3488150926,0.97654333,4.136909828,0.4127867167,4.067226759
DL0212,1.824014022,-1.987803564,7.909321843,0.578322524,8.259912446
DL0213,2.091967437,1.944010636,4.71741636,0.7265541386,4.426620257
DL0214,0.5950825601,2.797527265,7.900607809,0.4571148608,7.800040294
DL0215,0.9096102283,0.477690799,4.570626472,0.5137298411,4.388445352
DL0216,-0.4898404533,0.374675929,2.143276435,0.4381712816,2.693139849
DL0217,1.974505256,-1.279415635,6.04033763,0.605410946,6.431932252
DL0218,1.277021595,-0.8643687873,5.595934636,0.4798638871,5.697817499
DL0219,-1.238250192,-0.6641287503,1.161244422,0.4728850346,1.835132874
DL0220,0.8293072697,-0.1450679456,4.56361314,0.3992753086,4.286507117
DL0221,2.210582207,-0.8191468227,4.848197362,0.6479047973,4.026367234
DL0222,-1.75627351,0.6392894047,2.070856648,0.6661292317,2.908057433
DL0223,-2.207497792,0.474843357,2.6396418,0.7473496026,2.413283524
DL0224,1.485654527,0.3657898642,4.643093942,0.6174178148,3.152801578
DL0225,-1.18230306,0.9573954313,2.121071845,0.5628145508,2.835528462
DL0226,-0.1759261934,-0.8842751276,2.998435656,0.2816667148,2.983737633
DL0227,-0.2952296851,0.7395912181,2.752829678,0.4031413433,3.162905165
DL0228,-1.544118186,-0.02602111077,1.257480967,0.5279412736,0.960740051
DL0229,1.230498835,1.114578679,4.995256393,0.5714897903,4.870507687
DL0230,-2.37022694,-0.3005520755,2.273024048,0.6766408491,2.782921101
DL0231,-0.3707618048,-0.8639186425,2.523702942,0.3167371249,2.453072812
DL0232,-0.8710873283,0.07389170236,1.468391681,0.5067957191,1.052894391
DL0233,1.311571181,-0.1034315796,4.85335562,0.4860828126,6.175916082
DL0234,-2.401505307,-1.465747919,2.487255611,0.6822709552,2.352097334
DL0235,-0.7741111887,-0.1435562818,1.530672308,0.389340014,1.346309416
DL0236,2.101709413,0.3738148464,3.847069361,0.7283076943,3.175893552
DL0237,-0.6576688585,-1.106623068,2.141185724,0.3683803945,2.637780692
DL0238,-1.579403573,-1.798820172,2.079227272,0.5342926431,2.918483409
DL0239,-0.07973854016,-0.9836129723,3.332698272,0.2643529372,3.390601414
DL0240,-1.879468944,0.8430518574,2.551028528,0.68830441,2.521912296
DL0241,2.499208369,-0.544959943,3.895737405,0.6998575064,3.752183291
DL0242,0.6959408496,0.08869900412,4.317211472,0.4752693529,3.366815303
DL0243,1.306573045,-0.8323061261,5.561609866,0.4851831481,4.496715633
DL0244,1.698150226,-0.2998213413,4.834914938,0.5556670406,6.083978178
DL0245,-1.130752827,0.1944248422,1.338755241,0.5535355089,1.517481027
DL0246,-2.207672943,-1.635406567,2.356437827,0.6473811298,3.590187399
DL0247,0.1431662183,-0.06036674262,3.31274922,0.2757699193,3.267385986
DL0248,-0.9582545854,0.7132417789,1.876100528,0.5224858254,2.926769388
DL0249,2.210658958,0.2862031021,3.668830786,0.7479186125,3.44035836
DL0250,-0.7916274824,0.2968738726,1.666629809,0.4924929468,1.859734071
DL0251,-1.443348434,-0.7008272105,1.139441672,0.5098027182,1.191487957
DL0252,-1.874498092,0.2294241932,1.77825631,0.6874096565,2.215276809
DL0253,1.706170695,0.08029630631,4.554997092,0.6571107251,5.363447405
DL0254,2.286028651,-1.803403126,6.929895719,0.6614851572,7.574173278
DL0255,-2.126020425,-0.815006615,1.756877028,0.6326836765,1.653599673
DL0256,-1.727538677,0.1618459209,1.53456217,0.6609569619,1.514699495
DL0257,-2.342386675,-0.7875791711,2.110951202,0.6716296014,2.170154492
DL0258,1.451663675,-0.520633587,5.18729318,0.5112994615,5.866628714
DL0259,-2.091114021,0.08137242249,1.999458612,0.7264005238,2.830848276
DL0260,-0.4529673484,0.2679273328,2.151022231,0.4315341227,2.595031084
DL0261,1.081453171,-0.4444647556,5.01019961,0.4446615708,4.672888295
DL0262,-0.1753561737,-1.458844897,3.705009309,0.2815641113,3.254303819
DL0263,1.303985239,0.2218125735,4.725793785,0.584717343,5.045155583
DL0264,-1.236312001,0.2479983783,1.347980496,0.5725361602,0.7483082726
DL0265,1.618021312,1.193453201,4.78516923,0.6412438362,4.362286317
DL0266,1.593462909,0.9865615269,4.681240742,0.6368233236,4.777265403
DL0267,0.5664586172,-1.174429229,5.12292713,0.3519625511,4.308045223
DL0268,1.312835977,-0.1304560509,4.869284818,0.4863104759,4.010519902
DL0269,1.868003788,0.4531512245,4.226644578,0.6862406818,5.218873279
DL0270,1.677546245,0.2155497413,4.525812556,0.6519583241,3.790395011
DL0271,0.5349120832,-1.153883406,5.026010054,0.346284175,4.571195691
DL0272,1.527483364,0.1856274124,4.658198984,0.6249470055,5.197832035
DL0273,0.5754848314,0.01183278606,4.144268063,0.4535872696,4.660081327
DL0274,0.8236104279,-1.770980819,6.738712369,0.398249877,6.34707522
DL0275,-0.6631795691,1.315047455,2.970399819,0.4693723224,3.047839615
DL0276,0.9374543495,-0.4820261794,4.90998837,0.4187417829,4.826492686
DL0277,-1.357517393,0.8785606145,2.0450095,0.5943531307,2.273865347
DL0278,1.394026944,0.5065109652,4.684610785,0.60092485,5.862049137
DL0279,0.09761679591,-0.01813223582,3.211170729,0.2675710233,3.390322678
DL0280,-0.1183084535,-0.7661746406,3.036448561,0.2712955216,2.655254039
DL0281,-2.255434515,0.05855402789,2.289453384,0.7559782127,3.545544456
DL0282,2.484233892,0.03848127815,3.255038206,0.7971621005,3.838732891
DL0283,1.590056871,-1.188964572,6.13777235,0.5362102368,5.537128658
DL0284,-2.319604381,-0.2855181933,2.182198367,0.6675287886,2.319025299
DL0285,1.660397511,0.5094096994,4.489010324,0.648871552,4.14330708
DL0286,1.12545917,2.070817594,6.299358792,0.5525826506,7.024750064
DL0287,-2.159701759,0.3568182046,2.398981776,0.7387463165,2.383322848
DL0288,2.178661485,1.522866331,4.019889596,0.7421590673,4.095439287
DL0289,0.3592823113,-1.775062646,5.708408231,0.314670816,5.715837955
DL0290,2.213925106,-1.307565074,5.792535409,0.648506519,6.123460589
DL0291,0.2212326785,1.900439604,5.311534212,0.3898218821,4.762525106
DL0292,-2.20860304,-0.1606186608,2.040887743,0.6475485471,1.446156191
DL0293,-0.1044455616,0.8770479145,3.230116271,0.3688002011,3.247820977
DL0294,-0.2129121642,0.8948766954,3.052224746,0.3883241896,3.482407041
DL0295,0.9507821693,-0.3671034577,4.832528212,0.4211407905,4.285487544
DL0296,-1.478425987,-0.1909470828,1.158323297,0.5161166777,0.7946689012
DL0297,2.175986456,1.986717068,4.568395279,0.7416775621,3.045142643
DL0298,-0.2870053257,-0.7802536502,2.648711358,0.3016609586,2.834386098
DL0299,-0.8935820312,-0.00865972675,1.416389784,0.4108447656,1.787023137
DL0300,-1.982825115,-0.7035878495,1.54105842,0.6069085208,2.102514312
DL0301,1.099114076,-1.40692187,6.37312599,0.4478405336,6.737759873
DL0302,-1.420860696,-2.053668121,2.51455546,0.5057549253,2.306770679
DL0303,0.7017433132,0.2751161546,4.316925622,0.4763137964,4.664506045
DL0304,-2.182496045,0.5768836964,2.725264817,0.7428492881,1.487920141
DL0305,0.7122644093,0.2123307276,4.32975758,0.4782075937,3.767160234
DL0306,-0.3586627761,0.4717895815,2.430632449,0.4145592997,1.968588714
DL0307,-1.737901599,0.3476430055,1.711124314,0.6628222878,0.7789531608
DL0308,1.151509271,-1.650624532,6.931708738,0.4572716688,6.619763624
DL0309,2.213199954,-1.238430657,5.643227339,0.6483759918,4.758561032
DL0310,-1.547437757,-0.6219461552,1.149082809,0.5285387963,2.153842348
DL0311,-1.742139461,0.09427520282,1.500093218,0.663585103,2.129776029
DL0312,-2.448594644,-1.066051778,2.348053927,0.6907470359,2.72263397
DL0313,-1.679588087,-0.1313796248,1.307336744,0.5523258556,1.360379264
DL0314,-0.304087561,-0.4912538711,2.438098119,0.304735761,1.939652157
DL0315,0.9695581991,0.9280336589,4.81149145,0.5245204758,4.960655302
DL0316,-0.4049958787,-1.15811494,2.732756325,0.3228992582,2.239606038
DL0317,-1.291194738,0.1888150218,1.305347759,0.5824150528,2.217256853
DL0318,-0.7924857619,-1.207544049,2.001876592,0.3926474371,1.965493457
DL0319,0.7191158832,0.2679087646,4.339608513,0.479440859,3.915422785
DL0320,-1.056134665,-0.5821214437,1.25342795,0.4401042397,0.1016627373
DL0321,-0.790167822,-0.08095387641,1.5189536,0.392230208,1.896089165
DL0322,-1.764222625,-0.8653371449,1.339476018,0.5675600725,1.021256872
DL0323,-2.198086769,0.07204129414,2.189176084,0.7456556183,2.284055968
DL0324,2.258593931,0.3983159016,3.524849681,0.7565469076,4.539051803
DL0325,1.847817497,1.462293453,4.667011091,0.6826071495,5.047905144
DL0326,1.88242551,-0.8652706501,5.372264902,0.5888365917,4.549313561
DL0327,1.713456552,0.3592959538,4.447647979,0.6584221793,4.975460461
DL0328,1.842170956,-0.1492282832,4.552442244,0.5815907721,5.42028445
DL0329,-1.750429033,0.978544623,2.572848983,0.665077226,3.017648982
DL0330,0.4258435116,-0.8206121022,4.372989362,0.3266518321,4.036499302
DL0331,-1.546282417,-0.9177906334,1.239058377,0.5283308351,1.644845547
DL0332,1.006683954,1.146954612,5.002258221,0.5312031118,5.954760569
DL0333,1.763936838,1.542286071,4.894444762,0.6675086308,5.013823255
DL0334,-0.2582528337,0.2047603871,2.492627779,0.3964855101,2.602832391
DL0335,-0.9304822705,0.004493932513,1.383986383,0.5174868087,1.069748309
DL0336,-2.228667632,-0.6807116552,1.913189634,0.6511601738,2.815258121
DL0337,1.459607514,-0.2719218067,4.950264557,0.5127293525,4.695940569
DL0338,-1.759535964,-0.08887108576,1.406337085,0.5667164735,2.069243611
DL0339,1.196103059,0.1630741393,4.729865219,0.5652985505,4.50133166
DL0340,-0.4506000782,0.8747461023,2.63224936,0.4311080141,2.545834078
DL0341,-1.43658848,-1.579763457,1.799351604,0.5085859263,2.214366268
DL0342,2.26207875,-0.2557424358,3.98406711,0.6571741751,4.281330044
DL0343,0.1081567864,0.7908469894,3.547017342,0.3694682215,3.714021431
DL0344,0.9881020111,-0.4814683624,4.962192639,0.427858362,5.119224757
DL0345,0.9163228237,-1.801517027,6.966611113,0.4149381083,7.180151157
DL0346,0.5984315763,0.1319072855,4.166284968,0.4577176837,4.100679708
DL0347,-2.079646895,-0.2765943659,1.757132359,0.6243364411,2.808888655
DL0348,0.571535127,-0.6015159283,4.459312334,0.3528763229,4.212787851
DL0349,-0.7753642733,0.0701266581,1.578349409,0.4895655692,2.031509131
DL0350,1.431221162,0.1689166823,4.711752118,0.6076198091,4.465361056
DL0351,1.226461702,-0.8002578082,5.486925629,0.4707631063,5.773958369
DL0352,-2.163075053,-1.390003684,2.075780354,0.6393535095,1.972618003
DL0353,-0.741408421,-0.2021620907,1.571640609,0.3834535158,1.524953275
DL0354,0.8818132921,0.8303141435,4.691550299,0.5087263926,3.763033227
DL0355,1.863407639,-1.122664893,5.841525765,0.5854133751,7.240267662
DL0356,2.080848251,0.3116572814,3.907988039,0.7245526852,3.224096249
DL0357,0.1193371195,0.4232448758,3.337734884,0.3714806815,3.512344886
DL0358,0.08119533097,-0.5772229131,3.374760742,0.2646151596,3.159768907
DL0359,-2.170585865,-0.5565409003,1.826910572,0.6407054557,1.525049111
DL0360,-1.139626177,1.317263979,2.716817236,0.5551327119,1.909246576
DL0361,-0.9957011764,-1.711932249,2.34100769,0.4292262118,2.349250741
DL0362,0.11406759,-1.474857704,4.500861914,0.2705321662,4.310577457
DL0363,0.7547032223,1.619974238,5.431745029,0.48584658,5.110634843
DL0364,-1.517361407,-0.7325293005,1.162074736,0.5231250533,-0.1730516454
DL0365,-0.8206613055,-0.4141376587,1.475692839,0.397719035,1.848326631
DL0366,-0.7950247993,-0.6866137198,1.599879607,0.3931044639,1.599691321
DL0367,-0.9874562229,-1.049514048,1.5754289,0.4277421201,1.616355123
