obs_id,x,y,elevation,clay
SS087,8,3,127.3375273,36.44192532
SS088,8,4,133.0111201,29.61540872
SS089,8,5,138.533834,29.65345481
SS090,8,6,134.5858249,29.37716396
SS091,8,7,138.9020278,25.54990902
SS092,8,8,138.603297,22.10258113
SS093,8,9,136.6715433,25.99110852
SS094,8,10,143.111532,23.77326087
SS095,8,11,145.3587517,23.57085009
SS096,8,12,149.2530688,23.92146498
SS097,9,1,130.2482423,32.58720506
SS098,9,2,135.0441876,34.44875128
SS099,9,3,133.4367268,30.7153428
SS100,9,4,136.1851597,33.83390986
SS101,9,5,136.1372448,28.96376632
SS102,9,6,137.3072533,28.34601541
SS103,9,7,140.4047229,24.58963177
SS104,9,8,142.4399317,23.85516162
SS105,9,9,146.0952361,24.13650207
SS106,9,10,147.1292209,23.14705723
SS107,9,11,145.9233396,21.79947667
SS108,9,12,151.5122831,23.01845966
SS109,10,1,130.6640481,33.44110462
SS110,10,2,132.3824299,31.97321672
SS111,10,3,133.9747462,31.8345127
SS112,10,4,137.8227632,29.95514698
SS113,10,5,138.155911,28.04187698
SS114,10,6,141.7610229,26.5865116
SS115,10,7,143.5575567,27.54589632
SS116,10,8,150.2528472,25.84949543
SS117,10,9,149.5170224,22.9689652
SS118,10,10,149.1243505,23.44906812
SS119,10,11,152.9651502,23.31302679
SS120,10,12,154.100785,22.0353905
SS121,11,1,135.367351,33.32928133
SS122,11,2,135.777273,32.57773577
SS123,11,3,133.8294232,29.97035745
SS124,11,4,140.1433535,29.06719561
SS125,11,5,145.4180814,27.47749152
SS126,11,6,143.2375335,28.87409222
SS127,11,7,146.2004815,26.93787687
SS128,11,8,148.3918201,21.14377217
SS129,11,9,149.9411369,25.07740379
SS130,11,10,151.1921859,19.7144196
SS131,11,11,156.2491555,21.1133996
SS132,11,12,152.8091608,23.58867179
SS133,12,1,140.7146987,30.81870078
SS134,12,2,143.4964596,28.94519527
SS135,12,3,138.0343256,29.7014183
SS136,12,4,145.0328848,28.11166523
SS137,12,5,146.5134351,22.67351907
SS138,12,6,149.702469,27.2000114
SS139,12,7,149.1261575,22.16419483
SS140,12,8,149.3812595,24.34695521
SS141,12,9,153.6256173,21.89983661
SS142,12,10,154.4010675,21.04752655
SS143,12,11,158.9670387,19.74303797
SS144,12,12,158.9032732,21.70776808
SS145,13,1,144.5359877,30.62671784
SS146,13,2,144.7601959,28.50909836
SS147,13,3,145.2898495,29.79067192
SS148,13,4,151.0451542,28.45148613
SS149,13,5,147.7567399,31.2979594
SS150,13,6,149.8916037,24.1891737
SS151,13,7,155.1725051,23.87516956
SS152,13,8,157.0039586,22.40886442
SS153,13,9,155.7173795,22.99781322
SS154,13,10,158.8199964,18.64635922
SS155,13,11,164.2368737,21.87753672
SS156,13,12,167.3355196,24.66707381
SS157,14,1,143.615503,29.3802549
SS158,14,2,148.301041,28.46474713
SS159,14,3,148.2347633,28.96556874
SS160,14,4,148.8299843,27.85398963
SS161,14,5,149.0652016,24.92535047
SS162,14,6,152.8401577,25.00782501
SS163,14,7,156.0103485,21.91642095
SS164,14,8,157.0507561,21.56975154
SS165,14,9,161.4172582,20.02429669
SS166,14,10,161.4074827,21.54098141
SS167,14,11,165.4410502,20.46770533
SS168,14,12,164.8538605,20.36364373
SS169,15,1,145.0828306,27.86597625
SS170,15,2,148.9607565,29.7283876
SS171,15,3,153.0473315,27.44136997
SS172,15,4,154.0642501,26.67285318
SS173,15,5,155.9920301,21.36758665
SS174,15,6,157.0791079,26.72218706
SS175,15,7,155.908186,22.40990694
SS176,15,8,160.0531695,20.82758774
SS177,15,9,166.928551,22.5558205
SS178,15,10,162.8608479,22.10638675
SS179,15,11,167.2979632,24.74552212
SS180,15,12,170.2014363,20.78550624
