obs_id,signal_primary,signal_correlated,weak_feature,response
XA084,-0.7635983264,-0.7462401557,0.3534348533,6.130348127
XA085,-0.7426778243,-0.7116080364,0.5406759317,6.371483072
XA086,-0.7217573222,-0.6771603489,0.7041606988,6.655568881
XA087,-0.7008368201,-0.6448411937,0.8367059331,6.929113619
XA088,-0.679916318,-0.6163065849,0.9324878393,7.137274007
XA089,-0.6589958159,-0.5927003157,0.9872979358,7.250445488
XA090,-0.6380753138,-0.5744991517,0.9987279672,7.278359733
XA091,-0.6171548117,-0.561448303,0.9662757189,7.264547955
XA092,-0.5962343096,-0.5525959086,0.8913670832,7.264016651
XA093,-0.5753138075,-0.5464218664,0.7772934087,7.315518746
XA094,-0.5543933054,-0.5410435719,0.6290668837,7.422537935
XA095,-0.5334728033,-0.5344707198,0.4532003107,7.55264426
XA096,-0.5125523013,-0.5248746828,0.2574209452,7.655498535
XA097,-0.4916317992,-0.5108360073,0.05033097428,7.690263463
XA098,-0.4707112971,-0.49153653,-0.1589704476,7.648372833
XA099,-0.449790795,-0.4668701125,-0.3612869988,7.559966978
XA100,-0.4288702929,-0.4374570065,-0.5477292602,7.480622168
XA101,-0.4079497908,-0.4045599058,-0.7101053,7.465043834
XA102,-0.3870292887,-0.3699130466,-0.841280612,7.541040595
XA103,-0.3661087866,-0.3354874864,-0.935491593,7.696960068
XA104,-0.3451882845,-0.3032243314,-0.9885987848,7.888917472
XA105,-0.3242677824,-0.2747720159,-0.9982687547,8.064074606
XA106,-0.3033472803,-0.2512631953,-0.9640766217,8.188063319
XA107,-0.2824267782,-0.233161446,-0.8875247257,8.262553778
XA108,-0.2615062762,-0.2201985228,-0.7719766169,8.324010055
XA109,-0.2405857741,-0.2114106642,-0.6225092679,8.424283157
XA110,-0.219665272,-0.2052690337,-0.4456900004,8.602967165
XA111,-0.1987447699,-0.19988664,-0.2492879298,8.865659599
XA112,-0.1778242678,-0.1932737326,-0.04193260354,9.179273196
XA113,-0.1569037657,-0.1836071053,0.1672651646,9.486868272
XA114,-0.1359832636,-0.1694768588,0.3691136074,9.734534889
XA115,-0.1150627615,-0.1500772235,0.5547438735,9.896717692
XA116,-0.09414225941,-0.1253156167,0.7159997088,9.987170758
XA117,-0.07322175732,-0.0958251738,0.8457958267,10.05005009
XA118,-0.05230125523,-0.06287905563,0.9384292233,10.13576691
XA119,-0.03138075314,-0.02821813261,0.9898297567,10.27398057
XA120,-0.01046025105,0.006184634058,0.9977389814,10.45755341
XA121,0.01046025105,0.03839122345,0.9618093806,10.6456865
XA122,0.03138075314,0.06676085692,0.8836196351,10.78466085
XA123,0.05230125523,0.09017206981,0.7666052595,10.83561661
XA124,0.07322175732,0.1081744964,0.6159076512,10.79519589
XA125,0.09414225941,0.1210498249,0.4381481874,10.69849304
XA126,0.1150627615,0.1297736721,0.2411372939,10.60275568
XA127,0.1359832636,0.1358835384,0.03353126887,10.56007486
XA128,0.1569037657,0.1412707141,-0.1755480588,10.5929025
XA129,0.1778242678,0.1479243025,-0.3769141259,10.68478442
XA130,0.1987447699,0.1576620037,-0.5617192759,10.79093794
XA131,0.219665272,0.1718840977,-0.7218435085,10.86318857
XA132,0.2405857741,0.1913839229,-0.8502512579,10.87646559
XA133,0.2615062762,0.2162405016,-0.9413005226,10.84326929
XA134,0.2824267782,0.2458078446,-0.9909907643,10.80866404
XA135,0.3033472803,0.278802383,-0.9971386849,10.82829065
XA136,0.3242677824,0.3134766928,-0.9594741558,10.94056252
XA137,0.3451882845,0.347856001,-0.8796520876,11.14719295
XA138,0.3661087866,0.3800054617,-0.761179716,11.41197469
XA139,0.3870292887,0.4082920284,-0.6092625002,11.67845008
XA140,0.4079497908,0.431605479,-0.4305754048,11.89750179
XA141,0.4288702929,0.4495086797,-0.2329696138,12.05085528
XA142,0.449790795,0.4622967481,-0.02512756412,12.15858308
XA143,0.4707112971,0.4709571116,0.1838185447,12.26686622
XA144,0.4916317992,0.4770358625,0.384688003,12.4223391
XA145,0.5125523013,0.4824285028,0.5686549742,12.64618614
XA146,0.5334728033,0.4891233958,0.7276362861,12.9212859
XA147,0.5543933054,0.4989326514,0.8546465908,13.199045
XA148,0.5753138075,0.5132468651,0.9441052879,13.4225217
XA149,0.5962343096,0.5328469072,0.9920817257,13.55412593
XA150,0.6171548117,0.5577982363,0.9964679076,13.59383567
XA151,0.6380753138,0.587442039,0.9570711125,13.57868628
XA152,0.6589958159,0.6204843979,0.8756223637,13.56381495
XA153,0.679916318,0.6551714169,0.7557003701,13.59472341
XA154,0.7008368201,0.6895266028,0.6025742848,13.684878
XA155,0.7217573222,0.7216183745,0.4229721877,13.81002716
XA156,0.7426778243,0.7498214935,0.2247854666,13.92207907
XA157,0.7635983264,0.7730370319,0.01672208327,13.97539854
XA158,0.7845188285,0.7908411078,-0.1920760378,13.95204056
XA159,0.8054393305,0.8035422551,-0.3924346891,13.87297202
XA160,0.8263598326,0.8121396652,-0.5755504782,13.78946933
XA161,0.8472803347,0.8181879513,-0.7333776322,13.75898296
XA162,0.8682008368,0.8235867382,-0.8589815147,13.8176803
XA163,0.8891213389,0.8303235577,-0.9468433209,13.96357839
XA164,0.910041841,0.8402048449,-0.9931025638,14.15879293
XA165,0.9309623431,0.8546114462,-0.9957266968,14.34970117
XA166,0.9518828452,0.8743117277,-0.9546004205,14.4947039
XA167,0.9728033473,0.899357581,-0.871530748,14.58541713
XA168,0.9937238494,0.9290773995,-0.7501676089,14.65049242
XA169,1.014644351,0.9621669772,-0.5958434775,14.74013776
XA170,1.035564854,0.9968660272,-0.4153390737,14.89926549
XA171,1.056485356,1.031196428,-0.2165854309,15.14300736
XA172,1.077405858,1.063229953,-0.00831542045,15.44714511
XA173,1.09832636,1.091349247,0.2003199543,15.75841481
XA174,1.119246862,1.114466728,0.4001536368,16.01952283
XA175,1.140167364,1.132171785,0.5824053006,16.19621764
XA176,1.161087866,1.144786354,0.7390671409,16.2927139
XA177,1.182008368,1.153321344,0.8632557231,16.34769771
XA178,1.20292887,1.159339817,0.9495144281,16.41303062
XA179,1.223849372,1.164745433,0.9940532063,16.52607604
XA180,1.244769874,1.171524798,0.9949151051,16.68980748
XA181,1.265690377,1.181478591,0.9520622544,16.87087484
XA182,1.286610879,1.195977844,0.8673775299,17.01663375
XA183,1.307531381,1.215778382,0.7445818236,17.08245899
XA184,1.328451883,1.24091853,0.5890705542,17.05540171
XA185,1.349372385,1.270713916,0.4076766023,16.96209495
XA186,1.370292887,1.303850109,0.2083700863,16.85682265
XA187,1.391213389,1.338560511,-9.183012745e-05,16.79576209
XA188,1.412133891,1.372865465,-0.2085497117,16.81044518
XA189,1.433054393,1.404840189,-0.4078443004,16.89387365
XA190,1.453974895,1.432875285,-0.5892189567,17.00627034
XA191,1.474895397,1.455894567,-0.74470441,17.09744101
XA192,1.4958159,1.473500716,-0.8674689139,17.13425979
XA193,1.516736402,1.486029053,-0.9521184208,17.11918815
XA194,1.537656904,1.49450216,-0.9949335861,17.09031876
XA195,1.558577406,1.500491473,-0.9940331897,17.10286608
XA196,1.579497908,1.505904599,-0.9494567936,17.20149868
XA197,1.60041841,1.512727129,-0.8631630029,17.39759429
XA198,1.621338912,1.522753897,-0.738943409,17.6630098
XA199,1.642259414,1.53734606,-0.5822559936,17.94356097
XA200,1.663179916,1.557246869,-0.399985315,18.18538043
XA201,1.684100418,1.582481075,-0.2001400134,18.36077644
XA202,1.705020921,1.612351579,0.008499074214,18.48048353
XA203,1.725941423,1.64553378,0.2167647281,18.58614361
XA204,1.746861925,1.680254856,0.4155061363,18.72693932
XA205,1.767782427,1.714533703,0.5959909651,18.9323824
XA206,1.788702929,1.746449072,0.7502890412,19.19521931
XA207,1.809623431,1.774399601,0.8716207895,19.47325588
XA208,1.830543933,1.797320549,0.9546551148,19.70925247
XA209,1.851464435,1.814827904,0.9957436409,19.85881981
XA210,1.872384937,1.827270361,0.9930810131,19.91215332
XA211,1.893305439,1.835682123,0.9467842223,19.89856681
XA212,1.914225941,1.841642931,0.8588874649,19.8715339
XA213,1.935146444,1.847064248,0.7332527636,19.88186022
XA214,1.956066946,1.853930558,0.5754002773,19.95263899
XA215,1.976987448,1.864030769,0.3922657555,20.06871494
XA216,1.99790795,1.878716098,0.191895794,20.18597051
XA217,2.018828452,1.898717186,-0.01690571756,20.25563126
XA218,2.039748954,1.924045212,-0.2249644229,20.25112147
XA219,2.060669456,1.953990379,-0.423138603,20.18369361
XA220,2.081589958,1.98721798,-0.602720847,20.09877277
XA221,2.10251046,2.021949049,-0.7558206397,20.05478616
XA222,2.123430962,2.056201129,-0.8757110561,20.09517883
XA223,2.144351464,2.088056596,-0.9571243309,20.22779758
XA224,2.165271967,2.115922192,-0.9964833135,20.42208167
XA225,2.186192469,2.138744673,-0.9920586424,20.62543882
XA226,2.207112971,2.156153354,-0.9440447294,20.79042403
XA227,2.228033473,2.168510285,-0.8545512181,20.89885232
XA228,2.248953975,2.176861245,-0.7275102897,20.97055841
XA229,2.269874477,2.182794203,-0.56850389,21.05236091
XA230,2.290794979,2.188224394,-0.3845184695,21.19289567
XA231,2.311715481,2.195135097,-0.1836380109,21.41620173
XA232,2.332635983,2.205309215,0.02531116596,21.7075933
XA233,2.353556485,2.22008796,0.2331482165,22.01910083
XA234,2.374476987,2.240189331,0.4307411609,22.29179813
XA235,2.39539749,2.265610933,0.6094081268,22.48373041
XA236,2.416317992,2.295630304,0.7612988144,22.58930271
XA237,2.437238494,2.328902696,0.8797394249,22.64033588
XA238,2.458158996,2.363643077,0.9595258945,22.68833195
XA239,2.479079498,2.397867733,0.9971525517,22.77705511
XA240,2.5,2.42966275,0.99096615,22.91945519
