field,obs_id,season,nitrogen,soil_n,yield
F07,F07_P08,dry,120,2.147698582,57.15440886
F08,F08_P01,wet,60,1.403089351,60.42631825
F08,F08_P02,wet,60,2.76623209,65.00016698
F08,F08_P03,wet,120,1.62812803,71.67638792
F08,F08_P04,wet,60,1.810390106,61.38215045
F08,F08_P05,wet,180,2.399861182,76.18785443
F08,F08_P06,wet,120,2.536400035,68.94555132
F08,F08_P07,wet,180,2.025220568,80.10778376
F08,F08_P08,wet,60,2.146130381,60.5326012
F09,F09_P01,wet,60,1.39224093,59.56264165
F09,F09_P02,wet,60,1.374757546,55.54081728
F09,F09_P03,wet,120,1.459707502,63.56595409
F09,F09_P04,wet,120,1.907921837,65.44988315
F09,F09_P05,wet,0,1.707566663,57.58718592
F09,F09_P06,wet,0,1.091928638,54.32039477
F09,F09_P07,wet,120,1.602377796,65.42882133
F09,F09_P08,wet,120,1.918486297,68.92573768
F10,F10_P01,wet,60,1.697764141,65.2771593
F10,F10_P02,wet,0,2.399037552,57.00736177
F10,F10_P03,wet,180,1.740921336,78.27029758
F10,F10_P04,wet,180,1.860906226,76.31580582
F10,F10_P05,wet,60,1.308542165,56.00065859
F10,F10_P06,wet,180,2.548943827,78.34231691
F10,F10_P07,wet,0,1.560833298,53.40456072
F10,F10_P08,wet,0,1.372326825,47.6466349
F11,F11_P01,wet,0,2.275008717,58.77630759
F11,F11_P02,wet,0,1.714167446,52.49637072
F11,F11_P03,wet,180,1.869883372,78.01542543
F11,F11_P04,wet,120,2.161486275,68.79595624
F11,F11_P05,wet,0,2.481674477,52.92978819
F11,F11_P06,wet,180,2.072211175,83.15827441
F11,F11_P07,wet,60,1.629101803,59.48465778
F11,F11_P08,wet,120,1.959648183,70.76564322
F12,F12_P01,wet,60,2.353913445,68.2395376
F12,F12_P02,wet,120,1.848572911,70.31326536
F12,F12_P03,wet,0,2.127947366,55.39664885
F12,F12_P04,wet,60,2.144129356,61.67121715
F12,F12_P05,wet,60,1.74690267,62.62677891
F12,F12_P06,wet,0,1.32423302,54.12392803
F12,F12_P07,wet,180,1.540365128,83.70871305
F12,F12_P08,wet,0,2.328799511,54.68135699
F13,F13_P01,wet,60,2.193704251,59.82686936
F13,F13_P02,wet,120,2.523716574,70.95758765
F13,F13_P03,wet,0,1.988815301,56.45675942
F13,F13_P04,wet,120,2.107184375,74.79651823
F13,F13_P05,wet,120,2.306452119,72.41091518
F13,F13_P06,wet,0,1.679080645,51.90712953
F13,F13_P07,wet,60,2.18686827,64.6497161
F13,F13_P08,wet,0,2.584500787,59.58003748
F14,F14_P01,dry,60,1.581654902,45.51800882
F14,F14_P02,dry,0,2.088205438,45.66546099
F14,F14_P03,dry,60,2.248451762,52.71588958
F14,F14_P04,dry,0,2.753316349,46.44989667
F14,F14_P05,dry,120,1.877746124,60.44604428
F14,F14_P06,dry,120,2.431264177,61.11543001
F14,F14_P07,dry,60,1.928824125,51.45372248
F14,F14_P08,dry,60,2.27256091,49.51563651
F15,F15_P01,wet,180,1.195548889,83.80171366
F15,F15_P02,wet,0,2.273619462,67.49414029
F15,F15_P03,wet,180,1.675430388,86.66038198
F15,F15_P04,wet,120,1.962326122,82.04961191
F15,F15_P05,wet,180,1.558355497,90.07364293
F15,F15_P06,wet,0,2.169211792,70.21212796
F15,F15_P07,wet,60,2.161194643,72.04741296
F15,F15_P08,wet,120,1.91043606,81.7559232
F16,F16_P01,dry,120,1.718530104,59.48650746
F16,F16_P02,dry,120,2.474471463,62.64852588
F16,F16_P03,dry,180,1.584514334,70.49997373
F16,F16_P04,dry,180,2.399521644,69.09356353
F16,F16_P05,dry,120,1.759164752,52.81002715
F16,F16_P06,dry,0,2.57191596,42.28640511
F16,F16_P07,dry,180,2.217928818,73.5742125
F16,F16_P08,dry,180,0.7289933358,66.35563293
F17,F17_P01,dry,120,1.925165121,62.77873427
F17,F17_P02,dry,120,2.578179897,67.55129411
F17,F17_P03,dry,60,2.066794129,64.85079429
F17,F17_P04,dry,0,1.94136675,53.498327
F17,F17_P05,dry,120,1.19346793,59.32086074
F17,F17_P06,dry,0,1.841868195,49.52971604
F17,F17_P07,dry,60,1.543439119,54.30653554
F17,F17_P08,dry,60,2.248846395,59.885392
F18,F18_P01,dry,120,1.714740115,67.40067548
F18,F18_P02,dry,0,1.172380733,53.48318125
F18,F18_P03,dry,120,1.227290701,68.66132932
F18,F18_P04,dry,60,2.457191689,69.95134422
F18,F18_P05,dry,60,2.489223356,71.60775525
F18,F18_P06,dry,120,1.94086346,78.86346912
F18,F18_P07,dry,120,2.15487759,72.88392953
F18,F18_P08,dry,120,2.65291834,75.3581964
F19,F19_P01,wet,60,2.397747263,57.14882775
F19,F19_P02,wet,0,2.172858644,57.31251296
F19,F19_P03,wet,180,2.403328783,83.8431143
F19,F19_P04,wet,60,2.116694361,64.34511935
F19,F19_P05,wet,0,2.484195755,62.09488512
F19,F19_P06,wet,0,2.391854604,56.78904902
F19,F19_P07,wet,120,2.599619553,74.43429711
F19,F19_P08,wet,180,2.216418492,75.46053612
F20,F20_P01,dry,60,2.395266963,64.77095341
F20,F20_P02,dry,60,2.121550148,63.72184131
F20,F20_P03,dry,120,2.073888372,67.22954158
F20,F20_P04,dry,180,1.386359021,77.06232564
F20,F20_P05,dry,180,2.122836447,79.03865271
F20,F20_P06,dry,120,1.645853604,73.49820876
F20,F20_P07,dry,180,2.459861057,78.30340415
F20,F20_P08,dry,60,2.284985125,66.61975945
F21,F21_P01,dry,0,2.211069367,50.10806244
F21,F21_P02,dry,120,1.387216674,62.89086302
F21,F21_P03,dry,120,2.32942963,70.90454932
F21,F21_P04,dry,0,1.873524754,50.24325971
F21,F21_P05,dry,120,2.08196843,66.68614608
F21,F21_P06,dry,60,2.404891934,61.38518658
F21,F21_P07,dry,120,2.865498426,68.49868669
F21,F21_P08,dry,0,1.84435899,55.31971805
F22,F22_P01,dry,0,2.152021009,54.71396164
F22,F22_P02,dry,180,2.15055757,70.88649108
F22,F22_P03,dry,120,1.737996889,61.76543674
F22,F22_P04,dry,120,1.926892693,64.18728902
F22,F22_P05,dry,0,2.527764829,51.62118634
F22,F22_P06,dry,60,2.283696957,60.99978959
F22,F22_P07,dry,120,2.636933348,67.04712193
F22,F22_P08,dry,120,1.845037568,64.54433866
F23,F23_P01,wet,0,1.883991599,51.26285081
F23,F23_P02,wet,120,1.411583967,70.89977392
F23,F23_P03,wet,180,1.902490822,72.088662
F23,F23_P04,wet,180,2.460365129,78.76857498
F23,F23_P05,wet,180,1.404347662,68.6581797
F23,F23_P06,wet,180,1.840045141,75.49389265
F23,F23_P07,wet,180,2.48678986,78.14280971
F23,F23_P08,wet,60,1.977818914,64.22651216
F24,F24_P01,wet,0,1.68968432,57.36217127
F24,F24_P02,wet,60,2.185990066,63.86969937
F24,F24_P03,wet,180,1.890828772,78.66035098
F24,F24_P04,wet,120,1.676348092,72.59226709
F24,F24_P05,wet,0,2.671612016,60.52180869
F24,F24_P06,wet,60,1.585788109,65.18119806
F24,F24_P07,wet,180,1.23655186,79.38186769
F24,F24_P08,wet,60,2.057886953,62.78424213
