function_name,category,status,api_freeze,source_file,signature_prefix
smf_bayes_epred,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_epred (fit, new_data, ndraws=NULL, seed=NULL) {"
smf_bayes_fit,modeling,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_fit (formula, data, bayesian=smf_bayesian_spec(), family=""gaussian"", backend=c(""conjugate_gaussian"",""brms""), ...) {"
smf_bayes_loo,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,smf_bayes_loo (fit) {
smf_bayes_pp_check,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_pp_check (fit, new_data, truth, ndraws=500L, seed=260917L) {"
smf_bayes_predict,modeling,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_predict (fit, new_data, ndraws=NULL, seed=NULL) {"
smf_bayes_prior,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,smf_bayes_prior (spec=smf_bayesian_spec()) {
smf_bayes_prior_predictive,modeling,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_prior_predictive (formula, data, bayesian=smf_bayesian_spec(), family=""gaussian"", backend=c(""conjugate_gaussian"",""brms""), ndraws=500L, ...) {"
smf_bayes_stacking,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_stacking (..., method=""stacking"") {"
smf_bayes_summary,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_summary (fit, probs=c(0.025,0.5,0.975)) {"
smf_bayesian_spec,inference-uncertainty,release_candidate,0.9.0,spec-constructors.R,"smf_bayesian_spec (inference=c(""nuts"",""hmc"",""mcmc"",""vi"",""svi"",""laplace""), priors=list(), chains=4L, draws=2000L, warmup=1000L, target_accept=0.9, seed=260915L) {"
smf_benchmark,tuning-benchmark,release_candidate,0.9.0,benchmark.R,"smf_benchmark (spec, data, benchmark, resamples=NULL, override=FALSE) {"
smf_benchmark_spec,tuning-benchmark,release_candidate,0.9.0,benchmark.R,"smf_benchmark_spec (candidates, metrics=list(), resampling=NULL, decision_rule=NULL,"
smf_blocked_cv,core,release_candidate,0.9.0,resampling.R,"smf_blocked_cv (data, blocks, v=NULL, id_column=character(), seed=260915L, shuffle=FALSE) {"
smf_bootstrap,resampling-features,release_candidate,0.9.0,bootstrap-core.R,"smf_bootstrap (data, spec, statistic, design=smf_design_spec(), override=FALSE) {"
smf_bootstrap_interval,resampling-features,release_candidate,0.9.0,bootstrap-core.R,smf_bootstrap_interval (result) {
smf_bootstrap_spec,resampling-features,release_candidate,0.9.0,spec-constructors.R,"smf_bootstrap_spec (method=c(""case"",""stratified"",""residual"",""parametric"",""wild"",""cluster"",""hierarchical"",""moving_block"",""stationary_block"",""spatial_block""), n_resamples=1999L, sampling_unit=character(), block_length=NULL, statistic=""metric"", interval=c(""percentile"",""basic"",""bca"",""studentized""), level=0.95, seed=260915L, parameters=list()) {"
smf_bootstrap_stability,resampling-features,release_candidate,0.9.0,bootstrap-core.R,smf_bootstrap_stability (result) {
smf_build_representation,resampling-features,release_candidate,0.9.0,features-core.R,"smf_build_representation (data, outcome=character(), spec=smf_feature_spec(""pca""), id_column=character(), context=c(""global"",""training"")) {"
smf_bundle_info,operations,release_candidate,0.9.0,persistence.R,smf_bundle_info (path) {
smf_calibrate,modeling,release_candidate,0.9.0,calibration.R,"smf_calibrate (truth,probabilities,spec=smf_calibration_spec(""platt""),training_data=NULL) {"
smf_calibration_report,modeling,release_candidate,0.9.0,probabilistic-scoring.R,"smf_calibration_report (truth,probabilities,bins=10L,positive_label=NULL) {"
smf_calibration_spec,modeling,release_candidate,0.9.0,spec-constructors.R,"smf_calibration_spec (method=c(""none"",""platt"",""isotonic"",""multinomial"",""beta""), source=c(""analysis_holdout"",""external_predictions""), calibration_prop=0.2, bins=10L, parameters=list()) {"
smf_capabilities,core,release_candidate,0.9.0,core-capabilities.R,smf_capabilities () {
smf_check_pseudoreplication,core,release_candidate,0.9.0,design.R,"smf_check_pseudoreplication (data, design, treatment=character()) {"
smf_chunk_plan,core,release_candidate,0.9.0,scalability.R,"smf_chunk_plan (n, chunk_size=1000L) {"
smf_cnn1d,core,release_candidate,0.9.0,deep-learning-core.R,"smf_cnn1d (input_shape, channels=c(32L,64L), kernel_size=3L, output_dim=1L, dropout=0, task=""regression"") {"
smf_cnn2d,core,release_candidate,0.9.0,deep-learning-core.R,"smf_cnn2d (input_shape, channels=c(16L,32L), kernel_size=3L, output_dim=1L, dropout=0, task=""regression"") {"
smf_compare_validation_domains,reporting-validation,release_candidate,0.9.0,external-validation.R,"smf_compare_validation_domains (internal_result, external_result) {"
smf_conformal_coverage,inference-uncertainty,release_candidate,0.9.0,conformal.R,"smf_conformal_coverage (truth, prediction) {"
smf_conformal_diagnose,inference-uncertainty,release_candidate,0.9.0,conformal.R,"smf_conformal_diagnose (object, truth, prediction, tolerance=NULL) {"
smf_conformal_fit,modeling,release_candidate,0.9.0,conformal.R,"smf_conformal_fit (truth, prediction=NULL, spec=smf_conformal_spec(), design=NULL,"
smf_conformal_predict,modeling,release_candidate,0.9.0,conformal.R,"smf_conformal_predict (object, prediction=NULL, fold_predictions=NULL, lower=NULL, upper=NULL, probabilities=NULL) {"
smf_conformal_predict_probably,modeling,release_candidate,0.9.0,conformal.R,"smf_conformal_predict_probably (object, new_data, level=NULL, ...) {"
smf_conformal_probably,inference-uncertainty,release_candidate,0.9.0,conformal.R,"smf_conformal_probably (object, method=c(""split"",""cv_plus"",""full"",""quantile""), cal_data=NULL, train_data=NULL, level=0.95, ...) {"
smf_conformal_spec,inference-uncertainty,release_candidate,0.9.0,spec-constructors.R,"smf_conformal_spec (method=c(""split"",""cv_plus"",""full"",""quantile"",""aps""), level=0.95, score=""auto"", calibration_role=c(""calibration"",""out_of_fold""), exchangeability=c(""iid"",""group"",""time"",""spatial"",""custom""), randomized=FALSE, parameters=list()) {"
smf_counterfactual,explainability,release_candidate,0.9.0,explain.R,"smf_counterfactual (result, new_data, reference, target_value=NULL, target_class=NULL, threshold=0.5, max_candidates=5L) {"
smf_data_hash,data-design,release_candidate,0.9.0,core-serialization.R,"smf_data_hash (data, algo=""sha256"") {"
smf_data_iterator,data-design,release_candidate,0.9.0,scalability.R,"smf_data_iterator (data, chunk_size=1000L) {"
smf_data_spec,data-design,release_candidate,0.9.0,spec-constructors.R,"smf_data_spec (target, predictors = character(), id_column = character(), units = list(), categorical = character(), numeric = character(), missing_codes = list()) {"
smf_dataset_card,data-design,release_candidate,0.9.0,datasets.R,smf_dataset_card (name) {
smf_decide_benchmark,tuning-benchmark,release_candidate,0.9.0,benchmark.R,"smf_decide_benchmark (result, decision_rule) {"
smf_deployment_spec,operations,release_candidate,0.9.0,persistence.R,"smf_deployment_spec (adapter=c(""local"",""none"",""pins"",""vetiver"",""onnx""), strict_schema=TRUE,"
smf_deprecation_policy,core,release_candidate,0.9.0,release-candidate.R,smf_deprecation_policy () list(
smf_design_spec,data-design,release_candidate,0.9.0,spec-constructors.R,"smf_design_spec (id_column=character(), group_columns=character(), block_columns=character(), repeated_unit=character(), time_column=character(), coordinate_columns=character(), external_domain_column=character(), hierarchy=list(), experimental_unit=character(), groups=NULL, blocks=NULL, time=NULL, coordinates=NULL) {"
smf_design_summary,data-design,release_candidate,0.9.0,design.R,"smf_design_summary (data, design) {"
smf_detect_leakage,data-design,release_candidate,0.9.0,data-audit.R,"smf_detect_leakage (data, spec, design=NULL) {"
smf_diagnose,core,release_candidate,0.9.0,diagnostics.R,smf_diagnose (result) {
smf_dist_cdf,core,release_candidate,0.9.0,probabilistic-core.R,"smf_dist_cdf (dist,value) {"
smf_dist_interval,core,release_candidate,0.9.0,probabilistic-core.R,"smf_dist_interval (dist, level=0.95) {"
smf_dist_log_prob,core,release_candidate,0.9.0,probabilistic-core.R,"smf_dist_log_prob (dist,value) {"
smf_dist_mean,core,release_candidate,0.9.0,probabilistic-core.R,smf_dist_mean (dist) {
smf_dist_median,core,release_candidate,0.9.0,probabilistic-core.R,smf_dist_median (dist) {
smf_dist_quantile,core,release_candidate,0.9.0,probabilistic-core.R,"smf_dist_quantile (dist, probs) {"
smf_dist_sample,core,release_candidate,0.9.0,probabilistic-core.R,"smf_dist_sample (dist,n=1L,seed=NULL) {"
smf_dist_sd,core,release_candidate,0.9.0,probabilistic-core.R,smf_dist_sd (dist) sqrt(smf_dist_variance(dist))
smf_dist_variance,core,release_candidate,0.9.0,probabilistic-core.R,smf_dist_variance (dist) {
smf_dl_architecture,deep-learning,release_candidate,0.9.0,deep-learning-core.R,"smf_dl_architecture (kind, input_shape, output_dim=1L, parameters=list(), modality=""tabular"", task=""regression"") {"
smf_dl_checkpoint,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_checkpoint (path, backend=""torch"", metadata=list(), trusted=FALSE) {"
smf_dl_determinism,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_determinism (mode=c(""reproducible"",""strict_cpu"",""performance""), seed=260915L) {"
smf_dl_device,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_device (device=c(""auto"",""cpu"",""cuda"")) {"
smf_dl_distributional_head,deep-learning,release_candidate,0.9.0,probabilistic-dl.R,"smf_dl_distributional_head (distribution=c(""gaussian"",""bernoulli"",""categorical""), parameters=list()) {"
smf_dl_early_stopping,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_early_stopping (monitor=""validation_loss"", mode=c(""min"",""max""), patience=10L, min_delta=0, restore_best=TRUE) {"
smf_dl_ensemble,deep-learning,release_candidate,0.9.0,probabilistic-dl.R,"smf_dl_ensemble (x=NULL, y=NULL, architecture=NULL, fits=NULL, seeds=c(260915L,260916L,260917L), ...) {"
smf_dl_gradcam,deep-learning,release_candidate,0.9.0,deep-learning-xai.R,"smf_dl_gradcam (object, x, layer, target_index=1L, activation_adapter=NULL) {"
smf_dl_gradient_x_input,deep-learning,release_candidate,0.9.0,deep-learning-xai.R,"smf_dl_gradient_x_input (object, x, target_index=1L) {"
smf_dl_integrated_gradients,deep-learning,release_candidate,0.9.0,deep-learning-xai.R,"smf_dl_integrated_gradients (object, x, baseline=NULL, steps=50L, target_index=1L) {"
smf_dl_interval,deep-learning,release_candidate,0.9.0,probabilistic-dl.R,"smf_dl_interval (distribution, level=0.95) smf_dist_interval(distribution, level=level)"
smf_dl_load_checkpoint,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_load_checkpoint (checkpoint, model, trusted=FALSE, verify_hash=TRUE) {"
smf_dl_mc_dropout,deep-learning,release_candidate,0.9.0,probabilistic-dl.R,"smf_dl_mc_dropout (object, newdata, draws=100L, seed=260915L) {"
smf_dl_mixed_precision,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_mixed_precision (precision=c(""float32"",""mixed16"",""float64""), device=""auto"") {"
smf_dl_optimizer,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_optimizer (name=c(""adam"",""adamw"",""sgd"",""rmsprop""), lr=1e-3, weight_decay=0, momentum=0.9, parameters=list()) {"
smf_dl_predict,modeling,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_predict (object, newdata) {"
smf_dl_predict_distribution,modeling,release_candidate,0.9.0,probabilistic-dl.R,"smf_dl_predict_distribution (object, newdata, method=c(""ensemble"",""mc_dropout"",""gaussian_head""), draws=100L, level=0.95) {"
smf_dl_predict_tensor,modeling,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_predict_tensor (object, x) {"
smf_dl_resume,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_resume (object, checkpoint, trusted=FALSE, verify_hash=TRUE) {"
smf_dl_saliency,deep-learning,release_candidate,0.9.0,deep-learning-xai.R,"smf_dl_saliency (object, x, target_index=1L) {"
smf_dl_save_checkpoint,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_save_checkpoint (model, path, metadata=list()) {"
smf_dl_scheduler,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_scheduler (name=c(""none"",""step"",""cosine"",""plateau""), parameters=list()) {"
smf_dl_spec,deep-learning,release_candidate,0.9.0,spec-constructors.R,"smf_dl_spec (architecture=character(), trainer=""torch"", optimizer=""adam"", scheduler=character(), precision=""float32"", device=""auto"", epochs=100L, batch_size=32L, seed=260915L) {"
smf_dl_train,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_train (x, y, architecture=NULL, validation=NULL, validation_role=""analysis_validation"", epochs=100L, batch_size=32L,"
smf_dl_train_tensor,deep-learning,release_candidate,0.9.0,deep-learning-train.R,"smf_dl_train_tensor (x, y, architecture, validation=NULL, validation_role=""analysis_validation"", epochs=100L, batch_size=32L,"
smf_dl_uncertainty_decompose,deep-learning,release_candidate,0.9.0,probabilistic-dl.R,"smf_dl_uncertainty_decompose (distribution, aleatoric=NULL, level=0.95) {"
smf_doctor,core,release_candidate,0.9.0,doctor.R,smf_doctor () {
smf_end_run,core,release_candidate,0.9.0,tracking.R,"smf_end_run (run, status=c(""finished"",""failed"",""interrupted""), message=character()) {"
smf_evaluate,modeling,release_candidate,0.9.0,metrics.R,"smf_evaluate (truth, estimate, metrics=list(smf_metric_spec(""rmse"")), positive_label=NULL, threshold=0.5) {"
smf_evaluate_probabilistic,modeling,release_candidate,0.9.0,probabilistic-scoring.R,"smf_evaluate_probabilistic (truth,distribution,metrics=c(""log_loss"",""brier"",""ece""),level=0.95) {"
smf_experiment_spec,core,release_candidate,0.9.0,spec-constructors.R,"smf_experiment_spec (task, data, design=smf_design_spec(), preprocessing=smf_preprocess_spec(), resampling=smf_resampling_spec(), model, metrics=list(smf_metric_spec(""rmse"")), features=NULL, bootstrap=NULL, probabilistic=NULL, calibration=NULL, imbalance=NULL, tuning=NULL, benchmark=NULL, explain=NULL, reporting=smf_reporting_spec(), bayesian=NULL, deep_learning=NULL, conformal=NULL, uncertainty=NULL, tracking=NULL, persistence=NULL, deployment=NULL, scalability=NULL, reproducibility=smf_reproducibility_spec()) {"
smf_explain,explainability,release_candidate,0.9.0,explain.R,"smf_explain (result, data, spec=smf_explain_spec(), truth=NULL, new_data=NULL) {"
smf_explain_spec,explainability,release_candidate,0.9.0,spec-constructors.R,"smf_explain_spec (methods=c(""permutation"",""pdp"",""ale""), scope=c(""both"",""global"",""local""),"
smf_explanation_agreement,core,release_candidate,0.9.0,explain-stability.R,"smf_explanation_agreement (explanations, top_k=5L) {"
smf_explanation_domain,core,release_candidate,0.9.0,explain.R,"smf_explanation_domain (reference, new_data, features=intersect(names(reference),names(new_data))) {"
smf_explanation_stability,core,release_candidate,0.9.0,explain-stability.R,"smf_explanation_stability (spec, data, explain=smf_explain_spec(""permutation""), resamples=NULL, top_k=5L, override=FALSE) {"
smf_export_onnx,core,release_candidate,0.9.0,deployment.R,"smf_export_onnx (result, file, exporter=NULL) {"
smf_external_split,resampling-features,release_candidate,0.9.0,resampling.R,"smf_external_split (data, domain, assessment_values, id_column=character(), seed=260915L) {"
smf_external_validate,reporting-validation,release_candidate,0.9.0,external-validation.R,"smf_external_validate (result, external_data, domain_name=""external"", metrics=NULL, truth=NULL, id_column=NULL) {"
smf_feature_select_resamples,resampling-features,release_candidate,0.9.0,features-core.R,"smf_feature_select_resamples (data, outcome, feature_spec, resamples, id_column=character()) {"
smf_feature_spec,resampling-features,release_candidate,0.9.0,spec-constructors.R,"smf_feature_spec (method=c(""none"",""nzv"",""correlation"",""vif"",""mutual_information"",""rfe"",""sequential"",""regularized"",""tree"",""stability"",""pca"",""pls""), n_features=NULL, threshold=0.95, supervised=NULL, representation=character(), parameters=list()) {"
smf_feature_stability,resampling-features,release_candidate,0.9.0,features-core.R,smf_feature_stability (result) {
smf_fit_experiment,modeling,release_candidate,0.9.0,experiment.R,"smf_fit_experiment (spec,data,split=NULL,calibration_data=NULL) {"
smf_fit_model,modeling,release_candidate,0.9.0,model-adapters.R,"smf_fit_model (task, model, x, y, weights=NULL) {"
smf_fit_preprocessor,modeling,release_candidate,0.9.0,preprocess.R,"smf_fit_preprocessor (data, spec, data_spec, role=c(""training"",""test"",""validation"")) {"
smf_from_json,core,release_candidate,0.9.0,core-serialization.R,smf_from_json (x) {
smf_from_list,core,release_candidate,0.9.0,core-serialization.R,smf_from_list (x) {
smf_get_run,core,release_candidate,0.9.0,tracking.R,"smf_get_run (tracker, run_id) {"
smf_gp_fit,modeling,release_candidate,0.9.0,bayesian-adapters.R,"smf_gp_fit (x, y, backend=c(""native"",""DiceKriging""), length_scale=1, signal_variance=NULL, noise_variance=0.1, optimize=FALSE, standardize=TRUE, jitter=1e-8, ...) {"
smf_gp_predict,modeling,release_candidate,0.9.0,bayesian-adapters.R,"smf_gp_predict (fit, new_data, include_noise=TRUE, level=0.95) {"
smf_group_vfold_cv,core,release_candidate,0.9.0,resampling.R,"smf_group_vfold_cv (data, groups, v=5L, id_column=character(), seed=260915L, shuffle=TRUE) {"
smf_gru,core,release_candidate,0.9.0,deep-learning-core.R,"smf_gru (input_size, hidden_size=64L, layers=1L, output_dim=1L, bidirectional=FALSE, task=""regression"") {"
smf_hardware_info,operations,release_candidate,0.9.0,provenance.R,smf_hardware_info () .smf_hardware_info()
smf_hash,core,release_candidate,0.9.0,core-serialization.R,"smf_hash (x, algo=""sha256"") digest::digest(smf_to_json(x, pretty=FALSE), algo=algo, serialize=FALSE)"
smf_holdout_split,resampling-features,release_candidate,0.9.0,resampling.R,"smf_holdout_split (data, train_prop=0.8, strata=character(), id_column=character(), seed=260915L) {"
smf_ice,core,release_candidate,0.9.0,explain.R,"smf_ice (result, data, features=character(), grid_size=20L, n=50L, class=NULL, seed=260915L) {"
smf_imbalance_spec,modeling,release_candidate,0.9.0,spec-constructors.R,"smf_imbalance_spec (method=c(""none"",""weights"",""downsample"",""upsample"",""smote"",""bsmote"",""smotenc"",""smoten""), ratio=1, neighbors=5L, threshold=0.5, parameters=list()) {"
smf_import_split_manifest,resampling-features,release_candidate,0.9.0,resampling.R,"smf_import_split_manifest (data, manifest, id_column) {"
smf_iterator_next,operations,release_candidate,0.9.0,scalability.R,smf_iterator_next (iterator) {
smf_iterator_reset,operations,release_candidate,0.9.0,scalability.R,smf_iterator_reset (iterator) {
smf_list_datasets,core,release_candidate,0.9.0,datasets.R,smf_list_datasets () .smf_gold_names
smf_list_runs,core,release_candidate,0.9.0,tracking.R,smf_list_runs (tracker) {
smf_load_bundle,operations,release_candidate,0.9.0,persistence.R,"smf_load_bundle (path, trusted=FALSE) {"
smf_load_dataset,core,release_candidate,0.9.0,datasets.R,smf_load_dataset (name) {
smf_local_explain,explainability,release_candidate,0.9.0,explain.R,"smf_local_explain (result, new_data, background, features=character(), class=NULL) {"
smf_log_artifact,core,release_candidate,0.9.0,tracking.R,"smf_log_artifact (run, file, name=basename(file)) {"
smf_log_metric,modeling,release_candidate,0.9.0,tracking.R,"smf_log_metric (run, key, value, step=0L, timestamp=NULL) {"
smf_log_params,core,release_candidate,0.9.0,tracking.R,"smf_log_params (run, params) {"
smf_log_result,core,release_candidate,0.9.0,tracking.R,"smf_log_result (run, result) {"
smf_lstm,core,release_candidate,0.9.0,deep-learning-core.R,"smf_lstm (input_size, hidden_size=64L, layers=1L, output_dim=1L, bidirectional=FALSE, task=""regression"") {"
smf_make_resampler,resampling-features,release_candidate,0.9.0,resampling.R,"smf_make_resampler (data, spec, design=smf_design_spec(), task=NULL, override=FALSE) {"
smf_manifest,core,release_candidate,0.9.0,provenance.R,smf_manifest (x) {
smf_map_iterator,operations,release_candidate,0.9.0,scalability.R,"smf_map_iterator (iterator, FUN, ..., reset=TRUE) {"
smf_metric_spec,modeling,release_candidate,0.9.0,spec-constructors.R,"smf_metric_spec (name, direction=NULL, aggregation=""mean"", decision_role=""evaluation"") {"
smf_missingness_report,reporting-validation,release_candidate,0.9.0,data-audit.R,smf_missingness_report (data) {
smf_mlp,core,release_candidate,0.9.0,deep-learning-core.R,"smf_mlp (input_dim, hidden=c(64L,32L), output_dim=1L, activation=""relu"", dropout=0, task=""regression"") {"
smf_model_spec,modeling,release_candidate,0.9.0,spec-constructors.R,"smf_model_spec (family, engine=""stats"", parameters=list(), seed=260915L) {"
smf_monte_carlo_cv,core,release_candidate,0.9.0,resampling.R,"smf_monte_carlo_cv (data, times=10L, train_prop=0.8, strata=character(), id_column=character(), seed=260915L) {"
smf_multimodal,core,release_candidate,0.9.0,deep-learning-core.R,"smf_multimodal (branches, fusion=c(""concatenate"",""sum""), hidden=64L, output_dim=1L, task=""regression"") {"
smf_multitask,core,release_candidate,0.9.0,deep-learning-core.R,"smf_multitask (shared, heads, loss_weights=NULL) {"
smf_nested_resampler,resampling-features,release_candidate,0.9.0,resampling.R,"smf_nested_resampler (data, outer, inner, design=smf_design_spec(), task=NULL, override=FALSE) {"
smf_nested_tune,tuning-benchmark,release_candidate,0.9.0,tuning-core.R,"smf_nested_tune (spec, data, search_space, tuning, outer, inner, override=FALSE) {"
smf_optimize_threshold,core,release_candidate,0.9.0,imbalance.R,"smf_optimize_threshold (truth,probability,metric=c(""balanced_accuracy"",""f1"",""mcc"",""sensitivity"",""specificity"",""accuracy""),grid=seq(0.05,0.95,by=0.01),positive_label=NULL) {"
smf_param_dbl,core,release_candidate,0.9.0,tuning-core.R,"smf_param_dbl (lower=NULL, upper=NULL, values=NULL, log=FALSE, depends_on=NULL, resource=FALSE) {"
smf_param_fct,core,release_candidate,0.9.0,tuning-core.R,"smf_param_fct (values, depends_on=NULL) .smf_param_domain(""fct"", values=.smf_chr(values), depends_on=depends_on)"
smf_param_int,core,release_candidate,0.9.0,tuning-core.R,"smf_param_int (lower=NULL, upper=NULL, values=NULL, log=FALSE, depends_on=NULL, resource=FALSE) {"
smf_param_lgl,core,release_candidate,0.9.0,tuning-core.R,"smf_param_lgl (values=c(FALSE,TRUE), depends_on=NULL) .smf_param_domain(""lgl"", values=as.logical(values), depends_on=depends_on)"
smf_pareto_front,tuning-benchmark,release_candidate,0.9.0,tuning-core.R,"smf_pareto_front (data, objectives, directions) {"
smf_pdp,core,release_candidate,0.9.0,explain.R,"smf_pdp (result, data, features=character(), grid_size=20L, class=NULL) {"
smf_permutation_importance,core,release_candidate,0.9.0,explain.R,"smf_permutation_importance (result, data, truth=NULL, metric=NULL, features=character(), n_repeats=20L, seed=260915L) {"
smf_persistence_spec,operations,release_candidate,0.9.0,persistence.R,"smf_persistence_spec (schema_version=.smf_bundle_schema_version,"
smf_pins_fetch_bundle,operations,release_candidate,0.9.0,deployment.R,"smf_pins_fetch_bundle (board, name, version=NULL, destination=tempfile(fileext="".zip""), ...) {"
smf_pins_publish_bundle,operations,release_candidate,0.9.0,deployment.R,"smf_pins_publish_bundle (board, bundle_path, name, tags=character(), ...) {"
smf_plot,core,release_candidate,0.9.0,diagnostics.R,"smf_plot (result,type=c(""observed_predicted"",""residuals"",""calibration"")) {"
smf_predict,modeling,release_candidate,0.9.0,experiment.R,"smf_predict (result,new_data) {"
smf_predict_bundle,modeling,release_candidate,0.9.0,persistence.R,"smf_predict_bundle (bundle, new_data, strict_schema=TRUE, type=c(""auto"",""response"",""prob"")) {"
smf_predict_distribution,modeling,release_candidate,0.9.0,probabilistic-core.R,"smf_predict_distribution (result,new_data=NULL) {"
smf_predict_model,modeling,release_candidate,0.9.0,model-adapters.R,"smf_predict_model (fit, task, new_data, type=c(""auto"",""response"",""prob"")) {"
smf_prediction_distribution,modeling,release_candidate,0.9.0,probabilistic-core.R,"smf_prediction_distribution (representation=c(""point"",""class_probabilities"",""samples"",""quantiles"",""parametric"",""interval""), payload, uncertainty=NULL, capabilities=list()) {"
smf_preprocess_provenance,core,release_candidate,0.9.0,preprocess.R,"smf_preprocess_provenance (preprocessor) list(training_hash=preprocessor@training_hash, state_hash=smf_hash(preprocessor@state), fitted=preprocessor@fitted)"
smf_preprocess_spec,core,release_candidate,0.9.0,spec-constructors.R,"smf_preprocess_spec (impute_numeric=c(""none"",""mean"",""median""), center=FALSE, scale=FALSE, one_hot=TRUE, transformations=list()) {"
smf_probabilistic_spec,core,release_candidate,0.9.0,spec-constructors.R,"smf_probabilistic_spec (distribution=character(), quantiles=numeric(), objective=character(), scores=character()) {"
smf_publication_plot,reporting-validation,release_candidate,0.9.0,reporting.R,"smf_publication_plot (result, type=c(""observed_predicted"",""residuals"",""calibration""), show_data=TRUE) {"
smf_publication_table,reporting-validation,release_candidate,0.9.0,reporting.R,"smf_publication_table (result, component=c(""metrics"",""predictions"",""diagnostics"",""audit"",""manifest"",""external_validation""), digits=3L, format=c(""data.frame"",""markdown"",""csv"",""parquet""), file=NULL) {"
smf_register_backend,core,release_candidate,0.9.0,core-capabilities.R,"smf_register_backend (name, capabilities=.smf_capability_defaults(), status=c(""validated"",""core"",""advanced"",""experimental"",""quarantined"",""unavailable""), package=character(), validation_tier=1L, overwrite=FALSE) {"
smf_release_candidate_audit,reporting-validation,release_candidate,0.9.0,release-candidate.R,smf_release_candidate_audit (runtime_certified=FALSE) {
smf_report,reporting-validation,release_candidate,0.9.0,reporting.R,"smf_report (result, spec=NULL, external_validation=NULL, file=NULL, title=""sciModelFlowR scientific analysis"", format=c(""object"",""markdown"",""quarto"",""html"",""pdf"",""docx"",""latex"")) {"
